Substation Latitude,Substation Longitude,Number,Sub Name,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
29.198,-96.6616,110001,EDNA 1,EDNA 1 1,Coast,138,1.03709,143.119,-4.24,0.22,0.08,,,,0,0,7,1
29.198,-96.6616,110002,EDNA 1,EDNA 1 2,Coast,13.8,1.03709,14.312,-4.24,,,,,,0,0,7,1
29.198,-96.6616,110003,EDNA 1,EDNA 1 3,Coast,13.8,1.03709,14.312,-4.24,,,,,,0,0,7,1
29.198,-96.6616,110004,EDNA 1,EDNA 1 4,Coast,1,1.03709,1.037,-4.24,,,,,,0,0,7,1
29.2786,-95.9966,110005,LANE CITY 1,LANE CITY 1 1,Coast,138,1.02186,141.016,-11.38,79.7,38.66,,,,0,0,7,1
29.2786,-95.9966,110006,LANE CITY 1,LANE CITY 1 2,Coast,13.8,1.02186,14.102,-11.38,,,,,,0,0,7,1
29.2786,-95.9966,110007,LANE CITY 1,LANE CITY 1 3,Coast,13.8,1.02186,14.102,-11.38,,,,,,0,0,7,1
29.2786,-95.9966,110008,LANE CITY 1,LANE CITY 1 4,Coast,1,1.02186,1.022,-11.38,,,,,,0,0,7,1
28.7913,-95.95,110009,MATAGORDA 1,MATAGORDA 1 1,Coast,138,1.0286,141.947,-3.56,5.9,2.03,,,,0,0,7,1
28.7913,-95.95,110010,MATAGORDA 1,MATAGORDA 1 2,Coast,13.8,1.0286,14.195,-3.56,,,,,,0,0,7,1
28.7913,-95.95,110011,MATAGORDA 1,MATAGORDA 1 3,Coast,13.8,1.0286,14.195,-3.56,,,,,,0,0,7,1
28.7913,-95.95,110012,MATAGORDA 1,MATAGORDA 1 4,Coast,1,1.0286,1.029,-3.56,,,,,,0,0,7,1
29.3807,-96.1052,110013,HUNGERFORD 1,HUNGERFORD 1 1,Coast,138,1.01156,139.595,-12.68,15.3,3.54,,,,0,0,7,1
29.3807,-96.1052,110014,HUNGERFORD 1,HUNGERFORD 1 2,Coast,13.8,1.01156,13.959,-12.68,,,,,,0,0,7,1
29.3807,-96.1052,110015,HUNGERFORD 1,HUNGERFORD 1 3,Coast,13.8,1.01156,13.959,-12.68,,,,,,0,0,7,1
29.3807,-96.1052,110016,HUNGERFORD 1,HUNGERFORD 1 4,Coast,1,1.01156,1.012,-12.68,,,,,,0,0,7,1
29.5208,-96.0832,110017,EAST BERNARD 1,EAST BERNARD 1 1,Coast,138,1.02644,141.649,-16.74,11,2.71,,,,0,0,7,1
29.5208,-96.0832,110018,EAST BERNARD 1,EAST BERNARD 1 2,Coast,13.8,1.02644,14.165,-16.74,,,,,,0,0,7,1
29.5208,-96.0832,110019,EAST BERNARD 1,EAST BERNARD 1 3,Coast,13.8,1.02644,14.165,-16.74,,,,,,0,0,7,1
29.5208,-96.0832,110020,EAST BERNARD 1,EAST BERNARD 1 4,Coast,1,1.02644,1.026,-16.74,,,,,,0,0,7,1
29.1414,-96.3216,110021,EL CAMPO 1,EL CAMPO 1 1,Coast,138,1.02517,141.474,-6.83,8.3,1.88,,,,0,0,7,1
29.1414,-96.3216,110022,EL CAMPO 1,EL CAMPO 1 2,Coast,22,1.02517,22.554,-6.83,,,,,,0,0,7,1
29.1414,-96.3216,110023,EL CAMPO 1,EL CAMPO 1 3,Coast,22,1.02517,22.554,-6.83,,,,,,0,0,7,1
29.1414,-96.3216,110024,EL CAMPO 1,EL CAMPO 1 4,Coast,1,1.02517,1.025,-6.83,,,,,,0,0,7,1
29.2599,-96.2944,110025,EL CAMPO 2,EL CAMPO 2 1,Coast,138,1.02607,141.598,-6.83,7.3,2.11,,,,0,0,7,1
29.2599,-96.2944,110026,EL CAMPO 2,EL CAMPO 2 2,Coast,13.8,1.02607,14.16,-6.83,,,,,,0,0,7,1
29.2599,-96.2944,110027,EL CAMPO 2,EL CAMPO 2 3,Coast,13.8,1.02607,14.16,-6.83,,,,,,0,0,7,1
