Number of Bus,Name of Bus,ID,Status,Gen MW,Gen Mvar,Min MW,Max MW,AGC,# Cost Curve Points,IOB,IOC,Variable O&M,Fuel Cost,IOD,AVR,RegBus Num,Fuel Type,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model
111180,BAYTOWN 10 2,1,Closed,643.52,1.54,87.52,746,YES,5,7.71,0.0029,4,2.814,0,YES,111179,NG (Natural Gas),1.04,-250.07,379.71,YES,746,Piecewise Linear
111181,BAYTOWN 10 3,1,Closed,630.21,1.54,303.73,749,YES,5,9.35,0.0009,4,3.219,0,YES,111179,NG (Natural Gas),1.04,-231.35,381.24,YES,749,Piecewise Linear
111183,GALENA PARK 18 2,1,Closed,46.58,21.81,15.73,54,YES,5,25.64,0.0011,5,3.144,0,YES,111183,NG (Natural Gas),1.04,-15.8,27.49,YES,54,Piecewise Linear
111184,GALENA PARK 18 3,1,Closed,23.42,27.49,6.3,54,YES,5,25.67,0.0005,5,3.646,0,YES,111184,NG (Natural Gas),1.04,-18.36,27.49,YES,54,Piecewise Linear
111185,GALENA PARK 18 4,1,Closed,46.58,22.62,23.18,54,YES,5,25.54,0.003,5,3.242,0,YES,111185,NG (Natural Gas),1.04,-16.92,27.49,YES,54,Piecewise Linear
111186,GALENA PARK 18 5,1,Closed,43.13,21.28,23.19,50,YES,5,25.57,0.0027,5,2.82,0,YES,111186,NG (Natural Gas),1.04,-14.5,25.45,YES,50,Piecewise Linear
111187,GALENA PARK 18 6,1,Closed,55.21,28.68,21.89,64,YES,5,25.62,0.0012,5,2.995,0,YES,111187,NG (Natural Gas),1.04,-17.09,32.58,YES,64,Piecewise Linear
111188,GALENA PARK 18 7,1,Closed,43.4,17.2,26.28,54,YES,5,25.6,0.0018,5,3.449,0,YES,111188,NG (Natural Gas),1.04,-18.67,27.49,YES,54,Piecewise Linear
111190,CYPRESS 54 2,1,Closed,60.57,5.9,27.6,104,YES,5,10.04,0.0003,4.5,3.172,0,YES,111190,NG (Natural Gas),1.04,-32.25,52.94,YES,104,Piecewise Linear
111191,CYPRESS 54 3,1,Closed,81.41,8.33,48.44,104,YES,5,9.92,0.0015,4.5,3.803,0,YES,111191,NG (Natural Gas),1.04,-33.75,52.94,YES,104,Piecewise Linear
111192,CYPRESS 54 4,1,Closed,49.17,10.12,20.52,57,YES,5,9.95,0.0022,4.5,3.084,0,YES,111192,NG (Natural Gas),1.04,-16.93,29.01,YES,57,Piecewise Linear
111193,CYPRESS 54 5,1,Closed,32.72,6.75,14.65,57,YES,5,10.03,0.0008,4.5,3.314,0,YES,111193,NG (Natural Gas),1.04,-15.98,29.01,YES,57,Piecewise Linear
