Year,Month,Day,Period,COPPER_SHEET
2018,1,1,1,53687.473
2018,1,1,2,52889.168
2018,1,1,3,52022.8
2018,1,1,4,51157.402
2018,1,1,5,50745.27
2018,1,1,6,50582.97
2018,1,1,7,50699.58
2018,1,1,8,50811.016
2018,1,1,9,51228.934
2018,1,1,10,52158.605
2018,1,1,11,53510.668
2018,1,1,12,54709.176
2018,1,1,13,55260.145
2018,1,1,14,55814.418
2018,1,1,15,56115.23
2018,1,1,16,55729.277
2018,1,1,17,54888.97
2018,1,1,18,53525.355
2018,1,1,19,52135.625
2018,1,1,20,51089.938
2018,1,1,21,50833.26
2018,1,1,22,52073.26
2018,1,1,23,55731.58
2018,1,1,24,57228.027
2018,1,2,1,57304.348
2018,1,2,2,57080.42
2018,1,2,3,55684.324
2018,1,2,4,53710.965
2018,1,2,5,51985.47
2018,1,2,6,50886.562
2018,1,2,7,50361.746
2018,1,2,8,50245.16
2018,1,2,9,50614.285
2018,1,2,10,51913.23
2018,1,2,11,54458.13
2018,1,2,12,57013.91
2018,1,2,13,58020.207
2018,1,2,14,58612.77
2018,1,2,15,59101.23
2018,1,2,16,59083.47
2018,1,2,17,58413.965
2018,1,2,18,57671.387
2018,1,2,19,57136.047
2018,1,2,20,56931.418
2018,1,2,21,57247.88
2018,1,2,22,58493.78
2018,1,2,23,61227.05
2018,1,2,24,62006.426
2018,1,3,1,61617.457
2018,1,3,2,60635.38
2018,1,3,3,58624.113
2018,1,3,4,56163.26
2018,1,3,5,54507.656
2018,1,3,6,53809.484
2018,1,3,7,53711.312
2018,1,3,8,54147.562
2018,1,3,9,55067.715
2018,1,3,10,56766.72
2018,1,3,11,59794.047
2018,1,3,12,62592.457
2018,1,3,13,62527.234
2018,1,3,14,60341.684
2018,1,3,15,57474.746
2018,1,3,16,54254.86
2018,1,3,17,51127.01
2018,1,3,18,48207.92
2018,1,3,19,45848.957
2018,1,3,20,43885.043
2018,1,3,21,42971.09
2018,1,3,22,43655.92
2018,1,3,23,47538.855
2018,1,3,24,50126.844
2018,1,4,1,51028.316
2018,1,4,2,51428.535
2018,1,4,3,50596.004
2018,1,4,4,48942.613
2018,1,4,5,47708.13
2018,1,4,6,47265.277
2018,1,4,7,47277.11
2018,1,4,8,47762.516
2018,1,4,9,48646.785
2018,1,4,10,50577.61
2018,1,4,11,53716.996
2018,1,4,12,56824.426
2018,1,4,13,56826.05
2018,1,4,14,54353.746
2018,1,4,15,51007.082
2018,1,4,16,47980.58
2018,1,4,17,45368.457
2018,1,4,18,43164.473
2018,1,4,19,41524.906
2018,1,4,20,40474.855
2018,1,4,21,40544.082
2018,1,4,22,41734.246
2018,1,4,23,45006.832
2018,1,4,24,46491.465
2018,1,5,1,46756.99
2018,1,5,2,46429.168
2018,1,5,3,44933.59
2018,1,5,4,42839.742
2018,1,5,5,41237.332
2018,1,5,6,40330.77
2018,1,5,7,40063.465
2018,1,5,8,40207.0
2018,1,5,9,40956.887
2018,1,5,10,42625.816
2018,1,5,11,45544.05
2018,1,5,12,48515.2
2018,1,5,13,48874.125
2018,1,5,14,47589.95
2018,1,5,15,45834.766
2018,1,5,16,43854.293
2018,1,5,17,41678.11
2018,1,5,18,39722.88
2018,1,5,19,38307.3
2018,1,5,20,37184.668
2018,1,5,21,36549.8
2018,1,5,22,36948.285
2018,1,5,23,39443.504
2018,1,5,24,40986.188
2018,1,6,1,41245.918
2018,1,6,2,41339.09
2018,1,6,3,40889.66
2018,1,6,4,39706.168
2018,1,6,5,38454.55
2018,1,6,6,37638.785
2018,1,6,7,37383.42
2018,1,6,8,37552.67
2018,1,6,9,38143.316
2018,1,6,10,39117.76
2018,1,6,11,40601.184
2018,1,6,12,42337.043
2018,1,6,13,43457.957
2018,1,6,14,43207.32
2018,1,6,15,42021.34
2018,1,6,16,40168.137
2018,1,6,17,38269.36
2018,1,6,18,36464.902
2018,1,6,19,35170.734
2018,1,6,20,34276.11
2018,1,6,21,34091.555
2018,1,6,22,34579.387
2018,1,6,23,36761.637
2018,1,6,24,37905.355
2018,1,7,1,37748.51
2018,1,7,2,37402.156
2018,1,7,3,36585.027
2018,1,7,4,35312.758
2018,1,7,5,33833.344
2018,1,7,6,32715.523
2018,1,7,7,31992.795
2018,1,7,8,31591.914
2018,1,7,9,31558.428
2018,1,7,10,31868.475
2018,1,7,11,32695.195
2018,1,7,12,33744.484
2018,1,7,13,34714.74
2018,1,7,14,35895.387
2018,1,7,15,36387.863
2018,1,7,16,36316.88
2018,1,7,17,36102.61
2018,1,7,18,35873.902
2018,1,7,19,35641.934
2018,1,7,20,35308.402
2018,1,7,21,35445.043
2018,1,7,22,36067.266
2018,1,7,23,37690.0
2018,1,7,24,38123.574
2018,1,8,1,37676.61
2018,1,8,2,36769.637
2018,1,8,3,35271.977
2018,1,8,4,33255.555
2018,1,8,5,31508.594
2018,1,8,6,30516.234
2018,1,8,7,30188.01
2018,1,8,8,30350.193
2018,1,8,9,31192.938
2018,1,8,10,33115.816
2018,1,8,11,36629.76
2018,1,8,12,40408.01
2018,1,8,13,40960.61
2018,1,8,14,40255.8
2018,1,8,15,39511.543
2018,1,8,16,38731.06
2018,1,8,17,37866.812
2018,1,8,18,37065.56
2018,1,8,19,36454.89
2018,1,8,20,35835.996
2018,1,8,21,35570.95
2018,1,8,22,35944.363
2018,1,8,23,38258.453
2018,1,8,24,39877.51
2018,1,9,1,39928.39
2018,1,9,2,39510.434
2018,1,9,3,38067.254
2018,1,9,4,36242.84
2018,1,9,5,34781.062
2018,1,9,6,33827.02
2018,1,9,7,33793.453
2018,1,9,8,34388.582
2018,1,9,9,35405.19
2018,1,9,10,37513.01
2018,1,9,11,41345.254
2018,1,9,12,45440.13
2018,1,9,13,45434.375
2018,1,9,14,44191.707
2018,1,9,15,42784.402
2018,1,9,16,41524.535
2018,1,9,17,40177.34
2018,1,9,18,39028.15
2018,1,9,19,38066.59
2018,1,9,20,37456.543
2018,1,9,21,37315.316
2018,1,9,22,37991.09
2018,1,9,23,40344.84
2018,1,9,24,41935.1
2018,1,10,1,41846.484
2018,1,10,2,41141.363
2018,1,10,3,39335.094
