Year,Month,Day,Period,COPPER_SHEET
2018,1,1,1,53436.938
2018,1,1,2,52633.766
2018,1,1,3,50748.332
2018,1,1,4,51303.254
2018,1,1,5,49932.152
2018,1,1,6,49176.754
2018,1,1,7,49573.55
2018,1,1,8,50410.746
2018,1,1,9,51004.832
2018,1,1,10,52130.156
2018,1,1,11,54372.387
2018,1,1,12,54708.145
2018,1,1,13,56363.344
2018,1,1,14,55988.01
2018,1,1,15,55255.707
2018,1,1,16,54987.668
2018,1,1,17,53613.844
2018,1,1,18,51881.754
2018,1,1,19,52139.035
2018,1,1,20,52139.188
2018,1,1,21,51546.742
2018,1,1,22,54757.152
2018,1,1,23,56018.98
2018,1,1,24,56760.574
2018,1,2,1,56523.863
2018,1,2,2,53927.008
2018,1,2,3,52191.363
2018,1,2,4,50011.617
2018,1,2,5,49310.66
2018,1,2,6,50235.895
2018,1,2,7,49693.98
2018,1,2,8,48719.008
2018,1,2,9,50006.16
2018,1,2,10,51509.36
2018,1,2,11,52989.223
2018,1,2,12,54875.31
2018,1,2,13,57145.76
2018,1,2,14,57744.29
2018,1,2,15,56509.8
2018,1,2,16,56622.137
2018,1,2,17,55596.723
2018,1,2,18,54053.016
2018,1,2,19,50548.68
2018,1,2,20,50307.117
2018,1,2,21,51194.43
2018,1,2,22,53830.58
2018,1,2,23,55035.16
2018,1,2,24,55433.562
2018,1,3,1,56198.55
2018,1,3,2,49621.47
2018,1,3,3,51506.473
2018,1,3,4,52365.137
2018,1,3,5,50314.992
2018,1,3,6,48602.355
2018,1,3,7,49025.92
2018,1,3,8,49523.902
2018,1,3,9,50618.492
2018,1,3,10,52194.914
2018,1,3,11,53136.418
2018,1,3,12,55548.133
2018,1,3,13,56378.895
2018,1,3,14,56186.914
2018,1,3,15,55466.004
2018,1,3,16,52741.06
2018,1,3,17,49212.457
2018,1,3,18,46645.793
2018,1,3,19,42171.867
2018,1,3,20,42693.05
2018,1,3,21,40527.062
2018,1,3,22,42928.914
2018,1,3,23,42588.06
2018,1,3,24,43972.074
2018,1,4,1,45606.49
2018,1,4,2,48028.383
2018,1,4,3,46891.17
2018,1,4,4,47975.3
2018,1,4,5,44965.953
2018,1,4,6,45767.582
2018,1,4,7,42777.863
2018,1,4,8,44325.62
2018,1,4,9,45106.555
2018,1,4,10,47125.695
2018,1,4,11,49995.86
2018,1,4,12,51667.438
2018,1,4,13,52116.69
2018,1,4,14,52036.01
2018,1,4,15,52299.625
2018,1,4,16,50605.27
2018,1,4,17,47252.22
2018,1,4,18,41250.863
2018,1,4,19,39707.39
2018,1,4,20,39299.938
2018,1,4,21,39434.086
2018,1,4,22,39428.383
2018,1,4,23,40763.59
2018,1,4,24,41918.234
2018,1,5,1,43554.51
2018,1,5,2,44914.324
2018,1,5,3,44436.348
2018,1,5,4,42799.734
2018,1,5,5,41755.652
2018,1,5,6,39287.965
2018,1,5,7,41613.797
2018,1,5,8,40421.586
2018,1,5,9,40154.066
2018,1,5,10,41523.52
2018,1,5,11,44428.832
2018,1,5,12,46421.266
2018,1,5,13,46077.332
2018,1,5,14,44644.434
2018,1,5,15,45583.87
2018,1,5,16,44885.496
2018,1,5,17,41409.94
2018,1,5,18,38920.883
2018,1,5,19,37020.516
2018,1,5,20,35851.5
2018,1,5,21,35209.25
2018,1,5,22,35472.074
2018,1,5,23,38647.473
2018,1,5,24,38690.746
2018,1,6,1,39744.375
2018,1,6,2,40595.188
2018,1,6,3,39518.805
2018,1,6,4,39136.996
2018,1,6,5,36888.6
2018,1,6,6,37061.99
2018,1,6,7,34776.918
2018,1,6,8,35432.19
2018,1,6,9,36262.72
2018,1,6,10,36521.617
2018,1,6,11,40816.793
2018,1,6,12,40492.99
2018,1,6,13,40863.64
2018,1,6,14,41467.027
2018,1,6,15,39621.395
2018,1,6,16,38657.504
2018,1,6,17,37259.484
2018,1,6,18,35924.21
2018,1,6,19,34447.74
2018,1,6,20,33706.09
2018,1,6,21,33886.312
2018,1,6,22,34313.363
2018,1,6,23,35918.89
2018,1,6,24,36585.105
2018,1,7,1,37296.355
2018,1,7,2,37169.18
2018,1,7,3,35551.0
2018,1,7,4,37715.133
2018,1,7,5,35937.71
2018,1,7,6,33104.258
2018,1,7,7,31723.918
2018,1,7,8,32181.879
2018,1,7,9,32531.805
2018,1,7,10,33528.656
2018,1,7,11,34685.695
2018,1,7,12,35916.113
2018,1,7,13,37270.777
2018,1,7,14,38318.63
2018,1,7,15,37051.04
2018,1,7,16,36959.734
2018,1,7,17,35780.402
2018,1,7,18,35790.54
2018,1,7,19,35118.1
2018,1,7,20,35027.75
2018,1,7,21,34853.33
2018,1,7,22,35488.844
2018,1,7,23,36384.965
2018,1,7,24,37030.105
2018,1,8,1,36911.766
2018,1,8,2,37127.836
2018,1,8,3,35876.652
2018,1,8,4,35351.324
2018,1,8,5,33812.84
2018,1,8,6,32081.355
2018,1,8,7,29069.633
2018,1,8,8,28503.441
2018,1,8,9,28877.617
2018,1,8,10,31419.387
2018,1,8,11,33353.633
2018,1,8,12,35775.547
2018,1,8,13,37343.234
2018,1,8,14,38489.234
2018,1,8,15,38637.95
2018,1,8,16,38133.383
2018,1,8,17,37413.273
2018,1,8,18,36878.797
2018,1,8,19,35875.676
2018,1,8,20,35685.844
2018,1,8,21,34249.24
2018,1,8,22,34448.527
2018,1,8,23,35266.316
2018,1,8,24,36786.934
2018,1,9,1,36818.94
2018,1,9,2,36459.45
2018,1,9,3,35622.152
2018,1,9,4,34212.6
2018,1,9,5,33805.785
2018,1,9,6,32507.703
2018,1,9,7,30615.807
2018,1,9,8,30570.22
2018,1,9,9,29740.701
2018,1,9,10,32840.434
2018,1,9,11,34634.402
2018,1,9,12,36608.844
2018,1,9,13,38533.66
2018,1,9,14,38177.625
2018,1,9,15,38731.832
2018,1,9,16,37043.445
2018,1,9,17,36207.387
2018,1,9,18,34782.42
2018,1,9,19,35071.188
2018,1,9,20,34667.766
2018,1,9,21,34381.82
2018,1,9,22,34575.24
2018,1,9,23,36095.082
2018,1,9,24,36254.6
2018,1,10,1,36237.625
2018,1,10,2,35805.465
2018,1,10,3,33849.527
2018,1,10,4,32572.53
2018,1,10,5,31556.494
2018,1,10,6,30794.035
2018,1,10,7,31152.758
2018,1,10,8,31369.248
2018,1,10,9,31482.705
2018,1,10,10,32603.766
2018,1,10,11,34388.41
2018,1,10,12,36402.836
2018,1,10,13,38077.797
2018,1,10,14,38995.34
2018,1,10,15,38744.47
2018,1,10,16,38804.027
2018,1,10,17,37923.387
2018,1,10,18,37578.453
2018,1,10,19,36869.426
2018,1,10,20,36502.715
2018,1,10,21,36297.246
2018,1,10,22,36239.086
2018,1,10,23,36820.305
2018,1,10,24,37377.332
2018,1,11,1,37139.535
2018,1,11,2,36342.6
2018,1,11,3,33902.695
2018,1,11,4,32534.314
2018,1,11,5,31528.186
2018,1,11,6,30537.506
2018,1,11,7,32421.45
2018,1,11,8,32384.111
2018,1,11,9,32233.377
2018,1,11,10,33426.32
2018,1,11,11,35696.59
2018,1,11,12,37663.63
2018,1,11,13,40338.742
2018,1,11,14,41194.508
2018,1,11,15,41567.453
2018,1,11,16,39597.098
2018,1,11,17,38751.67
2018,1,11,18,37806.77
2018,1,11,19,36663.555
2018,1,11,20,35750.04
2018,1,11,21,35542.68
2018,1,11,22,36262.54
2018,1,11,23,37102.117
2018,1,11,24,38513.465
2018,1,12,1,39028.008
2018,1,12,2,38350.914
2018,1,12,3,38402.33
2018,1,12,4,35958.05
2018,1,12,5,36096.074
2018,1,12,6,33185.31
2018,1,12,7,31334.852
2018,1,12,8,33263.234
2018,1,12,9,31880.27
2018,1,12,10,35312.656
2018,1,12,11,37095.527
2018,1,12,12,40696.438
2018,1,12,13,42048.29
2018,1,12,14,41997.19
2018,1,12,15,42370.164
2018,1,12,16,41333.715
2018,1,12,17,41841.94
2018,1,12,18,40058.16
2018,1,12,19,38393.906
2018,1,12,20,37899.68
2018,1,12,21,37812.84
2018,1,12,22,37943.438
2018,1,12,23,39216.363
2018,1,12,24,40725.703
2018,1,13,1,42554.242
2018,1,13,2,41844.883
2018,1,13,3,41614.48
2018,1,13,4,39289.633
2018,1,13,5,37488.375
2018,1,13,6,36353.016
2018,1,13,7,40531.844
2018,1,13,8,38848.61
2018,1,13,9,40124.426
2018,1,13,10,42442.543
2018,1,13,11,43864.598
2018,1,13,12,46711.703
2018,1,13,13,48139.125
2018,1,13,14,48446.203
2018,1,13,15,48445.09
2018,1,13,16,46506.848
2018,1,13,17,43435.027
2018,1,13,18,41262.23
2018,1,13,19,37829.99
2018,1,13,20,36553.355
2018,1,13,21,36046.0
2018,1,13,22,35028.88
2018,1,13,23,37249.74
2018,1,13,24,37701.19
2018,1,14,1,40383.598
2018,1,14,2,42426.586
2018,1,14,3,42634.555
2018,1,14,4,41187.035
2018,1,14,5,39659.113
2018,1,14,6,39256.1
2018,1,14,7,34817.75
2018,1,14,8,35445.34
2018,1,14,9,35308.977
2018,1,14,10,39851.348
2018,1,14,11,39723.715
2018,1,14,12,42427.266
2018,1,14,13,45255.17
2018,1,14,14,45304.273
2018,1,14,15,46588.5
2018,1,14,16,44040.93
2018,1,14,17,43634.266
2018,1,14,18,40741.81
2018,1,14,19,38805.35
2018,1,14,20,38287.69
2018,1,14,21,36474.07
2018,1,14,22,37218.23
2018,1,14,23,39299.73
2018,1,14,24,39785.938
2018,1,15,1,43534.375
2018,1,15,2,43726.42
2018,1,15,3,43816.28
2018,1,15,4,42821.305
2018,1,15,5,41755.332
2018,1,15,6,40161.703
2018,1,15,7,37302.79
2018,1,15,8,38071.2
2018,1,15,9,38230.797
2018,1,15,10,39254.145
2018,1,15,11,40486.414
2018,1,15,12,42302.145
2018,1,15,13,44505.043
2018,1,15,14,43487.438
2018,1,15,15,42887.965
2018,1,15,16,42200.547
2018,1,15,17,41954.188
2018,1,15,18,37816.17
2018,1,15,19,37730.52
2018,1,15,20,40372.266
2018,1,15,21,40309.375
2018,1,15,22,39967.984
2018,1,15,23,41116.414
2018,1,15,24,42726.426
2018,1,16,1,40532.465
2018,1,16,2,45601.773
2018,1,16,3,41675.242
2018,1,16,4,46160.82
2018,1,16,5,45310.9
2018,1,16,6,47051.72
2018,1,16,7,36301.617
2018,1,16,8,35742.12
2018,1,16,9,36909.887
2018,1,16,10,38707.953
2018,1,16,11,42658.555
2018,1,16,12,47702.082
2018,1,16,13,45967.637
2018,1,16,14,46368.656
2018,1,16,15,48507.62
2018,1,16,16,48898.055
2018,1,16,17,48612.023
2018,1,16,18,47941.414
2018,1,16,19,43012.6
2018,1,16,20,41323.043
2018,1,16,21,40689.297
2018,1,16,22,39849.234
2018,1,16,23,41642.21
2018,1,16,24,43591.31
2018,1,17,1,44744.07
2018,1,17,2,45501.953
2018,1,17,3,45351.957
2018,1,17,4,45012.484
2018,1,17,5,44505.777
2018,1,17,6,42851.496
2018,1,17,7,44053.19
2018,1,17,8,43610.867
2018,1,17,9,44940.633
2018,1,17,10,46188.03
2018,1,17,11,49136.56
2018,1,17,12,49921.18
2018,1,17,13,51808.56
2018,1,17,14,53610.547
2018,1,17,15,54089.004
2018,1,17,16,53919.35
2018,1,17,17,53079.875
2018,1,17,18,52548.285
2018,1,17,19,51047.773
2018,1,17,20,49646.582
2018,1,17,21,48666.613
2018,1,17,22,49873.562
2018,1,17,23,48662.55
2018,1,17,24,49224.957
2018,1,18,1,50888.74
2018,1,18,2,51409.035
2018,1,18,3,51966.582
2018,1,18,4,49685.246
2018,1,18,5,49226.324
2018,1,18,6,48072.258
2018,1,18,7,48376.234
2018,1,18,8,46043.125
2018,1,18,9,47706.49
2018,1,18,10,48401.895
2018,1,18,11,50651.27
2018,1,18,12,51990.63
2018,1,18,13,53085.594
2018,1,18,14,53001.2
2018,1,18,15,54066.586
2018,1,18,16,50936.66
2018,1,18,17,48699.465
2018,1,18,18,45672.535
2018,1,18,19,43768.098
2018,1,18,20,43356.92
2018,1,18,21,46915.383
2018,1,18,22,43181.227
2018,1,18,23,43684.277
2018,1,18,24,44388.19
