Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,1,1,0.0011250000000000001
2018,1,1,2,0.0
2018,1,1,3,0.0
2018,1,1,4,0.0
2018,1,1,5,0.0
2018,1,1,6,0.0
2018,1,1,7,0.0
2018,1,1,8,0.0
2018,1,1,9,0.0
2018,1,1,10,0.0
2018,1,1,11,0.0
2018,1,1,12,0.0
2018,1,1,13,0.0
2018,1,1,14,6.916941916666667
2018,1,1,15,135.23035908333335
2018,1,1,16,345.78694816666666
2018,1,1,17,372.167962
2018,1,1,18,385.1170640416667
2018,1,1,19,429.0009835416666
2018,1,1,20,459.2084755833333
2018,1,1,21,429.1285791666667
2018,1,1,22,453.4773783333333
2018,1,1,23,312.1685460416667
2018,1,1,24,54.33028737500001
2018,1,2,1,0.014625
2018,1,2,2,0.0
2018,1,2,3,0.0
2018,1,2,4,0.0
2018,1,2,5,0.0
2018,1,2,6,0.0
2018,1,2,7,0.0
2018,1,2,8,0.0
2018,1,2,9,0.0
2018,1,2,10,0.0
2018,1,2,11,0.0
2018,1,2,12,0.0
2018,1,2,13,0.0
2018,1,2,14,7.526717875
2018,1,2,15,132.92856770833336
2018,1,2,16,73.52611024999999
2018,1,2,17,102.11893516666666
2018,1,2,18,131.65997579166668
2018,1,2,19,161.94206425
2018,1,2,20,171.12433504166668
2018,1,2,21,244.54597004166678
2018,1,2,22,236.395605625
2018,1,2,23,182.75305479166673
2018,1,2,24,42.971874333333346
2018,1,3,1,0.018000000000000002
2018,1,3,2,0.0
2018,1,3,3,0.0
2018,1,3,4,0.0
2018,1,3,5,0.0
2018,1,3,6,0.0
2018,1,3,7,0.0
2018,1,3,8,0.0
2018,1,3,9,0.0
2018,1,3,10,0.0
2018,1,3,11,0.0
2018,1,3,12,0.0
2018,1,3,13,0.0
2018,1,3,14,11.644120125
2018,1,3,15,204.79118975
2018,1,3,16,480.44859262499995
2018,1,3,17,548.41487175
2018,1,3,18,521.7160721666665
2018,1,3,19,502.7925662916666
2018,1,3,20,514.0171970833333
2018,1,3,21,539.8879225000001
2018,1,3,22,539.2878409583334
2018,1,3,23,376.5213106666667
2018,1,3,24,73.41089541666668
2018,1,4,1,0.0011250000000000001
2018,1,4,2,0.0
2018,1,4,3,0.0
2018,1,4,4,0.0
2018,1,4,5,0.0
2018,1,4,6,0.0
2018,1,4,7,0.0
2018,1,4,8,0.0
2018,1,4,9,0.0
2018,1,4,10,0.0
2018,1,4,11,0.0
2018,1,4,12,0.0
2018,1,4,13,0.0
2018,1,4,14,19.24316666666666
2018,1,4,15,221.79281358333333
2018,1,4,16,468.62253391666667
2018,1,4,17,500.7198978333332
2018,1,4,18,427.2693972916667
2018,1,4,19,353.3283000416667
2018,1,4,20,362.2200999999999
2018,1,4,21,380.76389524999996
2018,1,4,22,323.0103447083333
2018,1,4,23,150.25501504166667
2018,1,4,24,14.739352625
2018,1,5,1,0.0045000000000000005
2018,1,5,2,0.0
2018,1,5,3,0.0
2018,1,5,4,0.0
2018,1,5,5,0.0
2018,1,5,6,0.0
2018,1,5,7,0.0
2018,1,5,8,0.0
2018,1,5,9,0.0
2018,1,5,10,0.0
2018,1,5,11,0.0
2018,1,5,12,0.0
2018,1,5,13,0.0
2018,1,5,14,4.599194708333333
2018,1,5,15,154.7953277083334
2018,1,5,16,380.2297929583332
2018,1,5,17,408.28570387499997
2018,1,5,18,426.9985823333333
2018,1,5,19,404.02447437500007
2018,1,5,20,423.1600835833333
2018,1,5,21,390.7945489166668
2018,1,5,22,434.29310079166663
2018,1,5,23,340.12630391666664
2018,1,5,24,66.97291175000001
2018,1,6,1,0.028125
2018,1,6,2,0.0
2018,1,6,3,0.0
2018,1,6,4,0.0
2018,1,6,5,0.0
2018,1,6,6,0.0
2018,1,6,7,0.0
2018,1,6,8,0.0
2018,1,6,9,0.0
2018,1,6,10,0.0
2018,1,6,11,0.0
2018,1,6,12,0.0
2018,1,6,13,0.0
2018,1,6,14,19.48893904166667
2018,1,6,15,200.7951403333333
2018,1,6,16,349.6064777083333
2018,1,6,17,404.7806537083333
2018,1,6,18,447.63442083333337
2018,1,6,19,465.37257029166653
2018,1,6,20,443.7831882500001
2018,1,6,21,415.1594715416666
2018,1,6,22,434.10562079166664
2018,1,6,23,278.5335538333333
2018,1,6,24,55.59392008333332
2018,1,7,1,0.041625
2018,1,7,2,0.0
2018,1,7,3,0.0
2018,1,7,4,0.0
2018,1,7,5,0.0
2018,1,7,6,0.0
2018,1,7,7,0.0
2018,1,7,8,0.0
2018,1,7,9,0.0
2018,1,7,10,0.0
2018,1,7,11,0.0
2018,1,7,12,0.0
2018,1,7,13,0.0
2018,1,7,14,1.1799097916666668
2018,1,7,15,14.333997541666667
2018,1,7,16,52.69933191666667
2018,1,7,17,96.04697254166665
2018,1,7,18,141.26662754166665
2018,1,7,19,182.71102116666668
2018,1,7,20,235.48887820833338
2018,1,7,21,225.9420116666667
2018,1,7,22,219.87896537499995
2018,1,7,23,164.40142483333332
2018,1,7,24,43.840429291666666
2018,1,8,1,0.04950000000000001
2018,1,8,2,0.0
2018,1,8,3,0.0
2018,1,8,4,0.0
2018,1,8,5,0.0
2018,1,8,6,0.0
2018,1,8,7,0.0
2018,1,8,8,0.0
2018,1,8,9,0.0
2018,1,8,10,0.0
2018,1,8,11,0.0
2018,1,8,12,0.0
2018,1,8,13,0.0
2018,1,8,14,9.104363916666664
2018,1,8,15,147.56214895833332
2018,1,8,16,321.9677442083334
2018,1,8,17,435.75884295833345
2018,1,8,18,496.6022418750001
2018,1,8,19,485.6574274166667
2018,1,8,20,496.1875671250001
2018,1,8,21,520.9060320833333
2018,1,8,22,492.8497745833334
2018,1,8,23,320.16603579166656
2018,1,8,24,72.20562858333334
2018,1,9,1,0.03262500000000001
2018,1,9,2,0.0
2018,1,9,3,0.0
2018,1,9,4,0.0
2018,1,9,5,0.0
2018,1,9,6,0.0
2018,1,9,7,0.0
2018,1,9,8,0.0
2018,1,9,9,0.0
2018,1,9,10,0.0
2018,1,9,11,0.0
2018,1,9,12,0.0
2018,1,9,13,0.0
2018,1,9,14,3.0949015416666663
2018,1,9,15,97.87135791666667
2018,1,9,16,229.354055
2018,1,9,17,299.2249139999999
2018,1,9,18,322.4039877083334
2018,1,9,19,325.2075210416666
2018,1,9,20,339.62639741666663
2018,1,9,21,335.3227560000001
2018,1,9,22,331.14045629166657
2018,1,9,23,253.65176433333335
2018,1,9,24,67.559613375
2018,1,10,1,0.068625
2018,1,10,2,0.0
2018,1,10,3,0.0
2018,1,10,4,0.0
2018,1,10,5,0.0
2018,1,10,6,0.0
2018,1,10,7,0.0
2018,1,10,8,0.0
2018,1,10,9,0.0
2018,1,10,10,0.0
2018,1,10,11,0.0
2018,1,10,12,0.0
2018,1,10,13,0.0
2018,1,10,14,1.859158708333333
2018,1,10,15,41.96226475000001
2018,1,10,16,147.88620395833337
2018,1,10,17,256.14375775
2018,1,10,18,307.0999452083334
2018,1,10,19,304.88413679166666
2018,1,10,20,324.0033807916666
2018,1,10,21,337.8970579166666
2018,1,10,22,267.9218008749999
2018,1,10,23,138.53735612499997
2018,1,10,24,25.34288295833333
2018,1,11,1,0.09675
2018,1,11,2,0.0
2018,1,11,3,0.0
2018,1,11,4,0.0
2018,1,11,5,0.0
2018,1,11,6,0.0
2018,1,11,7,0.0
2018,1,11,8,0.0
2018,1,11,9,0.0
2018,1,11,10,0.0
2018,1,11,11,0.0
2018,1,11,12,0.0
2018,1,11,13,0.0
2018,1,11,14,1.7098377083333336
2018,1,11,15,45.19221049999999
2018,1,11,16,120.86796320833332
2018,1,11,17,193.20150404166668
2018,1,11,18,319.3387225416668
2018,1,11,19,323.7489244166666
2018,1,11,20,312.47993375000004
2018,1,11,21,325.15238462500014
2018,1,11,22,386.1489092916666
2018,1,11,23,295.14196037500005
2018,1,11,24,67.43752775
2018,1,12,1,0.10575000000000001
2018,1,12,2,0.0
2018,1,12,3,0.0
2018,1,12,4,0.0
2018,1,12,5,0.0
2018,1,12,6,0.0
2018,1,12,7,0.0
2018,1,12,8,0.0
2018,1,12,9,0.0
2018,1,12,10,0.0
2018,1,12,11,0.0
2018,1,12,12,0.0
2018,1,12,13,0.0
2018,1,12,14,24.174146500000003
2018,1,12,15,274.2498565833334
2018,1,12,16,537.5856680833332
2018,1,12,17,567.53243575
2018,1,12,18,540.2955484166666
2018,1,12,19,520.3575847916667
2018,1,12,20,529.1785201250001
2018,1,12,21,554.166297875
2018,1,12,22,558.2539875833334
2018,1,12,23,419.81351141666653
2018,1,12,24,103.54695691666672
2018,1,13,1,0.12712500000000002
2018,1,13,2,0.0
2018,1,13,3,0.0
2018,1,13,4,0.0
2018,1,13,5,0.0
2018,1,13,6,0.0
2018,1,13,7,0.0
2018,1,13,8,0.0
2018,1,13,9,0.0
2018,1,13,10,0.0
2018,1,13,11,0.0
2018,1,13,12,0.0
2018,1,13,13,0.0
2018,1,13,14,22.53384570833333
2018,1,13,15,265.724149125
