Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,1,1,0.0
2018,1,1,2,0.0
2018,1,1,3,0.0
2018,1,1,4,0.0
2018,1,1,5,0.0
2018,1,1,6,0.0
2018,1,1,7,0.0
2018,1,1,8,0.0
2018,1,1,9,0.0
2018,1,1,10,0.0
2018,1,1,11,0.0
2018,1,1,12,0.0
2018,1,1,13,0.0
2018,1,1,14,0.0
2018,1,1,15,192.6691084355116
2018,1,1,16,391.3859845995903
2018,1,1,17,447.25827676057816
2018,1,1,18,444.6628528833389
2018,1,1,19,411.38339453935623
2018,1,1,20,413.02730083465576
2018,1,1,21,404.9422233104706
2018,1,1,22,449.4757583141327
2018,1,1,23,266.10094049572945
2018,1,1,24,17.774909801781178
2018,1,2,1,0.0
2018,1,2,2,0.0
2018,1,2,3,0.0
2018,1,2,4,0.0
2018,1,2,5,0.0
2018,1,2,6,0.0
2018,1,2,7,0.0
2018,1,2,8,0.0
2018,1,2,9,0.0
2018,1,2,10,0.0
2018,1,2,11,0.0
2018,1,2,12,0.0
2018,1,2,13,0.0
2018,1,2,14,0.0
2018,1,2,15,229.63349720835686
2018,1,2,16,370.0605431199074
2018,1,2,17,427.5452160835266
2018,1,2,18,422.15168046951294
2018,1,2,19,319.45088160037994
2018,1,2,20,320.23941296339035
2018,1,2,21,304.62938049435616
2018,1,2,22,272.001530200243
2018,1,2,23,150.86073891818523
2018,1,2,24,12.633029751479626
2018,1,3,1,0.0
2018,1,3,2,0.0
2018,1,3,3,0.0
2018,1,3,4,0.0
2018,1,3,5,0.0
2018,1,3,6,0.0
2018,1,3,7,0.0
2018,1,3,8,0.0
2018,1,3,9,0.0
2018,1,3,10,0.0
2018,1,3,11,0.0
2018,1,3,12,0.0
2018,1,3,13,0.0
2018,1,3,14,0.0
2018,1,3,15,283.81566748023033
2018,1,3,16,515.6134371757507
2018,1,3,17,551.2818441987038
2018,1,3,18,527.544332921505
2018,1,3,19,508.9721722602844
2018,1,3,20,520.615349650383
2018,1,3,21,540.5128838419914
2018,1,3,22,543.7170534133911
2018,1,3,23,355.48685348033905
2018,1,3,24,25.930934995412827
2018,1,4,1,0.0
2018,1,4,2,0.0
2018,1,4,3,0.0
2018,1,4,4,0.0
2018,1,4,5,0.0
2018,1,4,6,0.0
2018,1,4,7,0.0
2018,1,4,8,0.0
2018,1,4,9,0.0
2018,1,4,10,0.0
2018,1,4,11,0.0
2018,1,4,12,0.0
2018,1,4,13,0.0
2018,1,4,14,0.0
2018,1,4,15,236.97074303030968
2018,1,4,16,395.0549299120903
2018,1,4,17,446.9110365509987
2018,1,4,18,449.6008548140526
2018,1,4,19,386.2746896147728
2018,1,4,20,389.2336074113846
2018,1,4,21,373.9230166077614
2018,1,4,22,306.3881044089794
2018,1,4,23,150.3719268143177
2018,1,4,24,6.131565131247044
2018,1,5,1,0.0
2018,1,5,2,0.0
2018,1,5,3,0.0
2018,1,5,4,0.0
2018,1,5,5,0.0
2018,1,5,6,0.0
2018,1,5,7,0.0
2018,1,5,8,0.0
2018,1,5,9,0.0
2018,1,5,10,0.0
2018,1,5,11,0.0
2018,1,5,12,0.0
2018,1,5,13,0.0
2018,1,5,14,0.0
2018,1,5,15,149.31744980439544
2018,1,5,16,350.36815536022186
2018,1,5,17,403.9457674026489
2018,1,5,18,402.16389203071594
2018,1,5,19,395.7324487566948
2018,1,5,20,396.9977336525917
2018,1,5,21,403.1993662118912
2018,1,5,22,453.3449635505676
2018,1,5,23,297.81787449121475
2018,1,5,24,29.513564467430115
2018,1,6,1,0.0
2018,1,6,2,0.0
2018,1,6,3,0.0
2018,1,6,4,0.0
2018,1,6,5,0.0
2018,1,6,6,0.0
2018,1,6,7,0.0
2018,1,6,8,0.0
2018,1,6,9,0.0
2018,1,6,10,0.0
2018,1,6,11,0.0
2018,1,6,12,0.0
2018,1,6,13,0.0
2018,1,6,14,0.0
2018,1,6,15,252.94814324378967
2018,1,6,16,448.0463402867317
2018,1,6,17,496.61374682188034
2018,1,6,18,484.6084961295128
2018,1,6,19,466.6041376590729
2018,1,6,20,476.74467504024506
2018,1,6,21,492.37999761104584
2018,1,6,22,484.9536837339401
2018,1,6,23,310.6899277418852
2018,1,6,24,30.948075115680695
2018,1,7,1,0.0
2018,1,7,2,0.0
2018,1,7,3,0.0
2018,1,7,4,0.0
2018,1,7,5,0.0
2018,1,7,6,0.0
2018,1,7,7,0.0
2018,1,7,8,0.0
2018,1,7,9,0.0
2018,1,7,10,0.0
2018,1,7,11,0.0
2018,1,7,12,0.0
2018,1,7,13,0.0
2018,1,7,14,0.0
2018,1,7,15,130.70057963579893
2018,1,7,16,184.75948253273964
2018,1,7,17,230.6866441220045
2018,1,7,18,253.0113094896078
2018,1,7,19,257.08955723047256
2018,1,7,20,254.36011171340942
2018,1,7,21,231.48728622496128
2018,1,7,22,256.12393745034933
2018,1,7,23,173.55301194638014
2018,1,7,24,29.963249653577805
2018,1,8,1,0.0
2018,1,8,2,0.0
2018,1,8,3,0.0
2018,1,8,4,0.0
2018,1,8,5,0.0
2018,1,8,6,0.0
2018,1,8,7,0.0
2018,1,8,8,0.0
2018,1,8,9,0.0
2018,1,8,10,0.0
2018,1,8,11,0.0
2018,1,8,12,0.0
2018,1,8,13,0.0
2018,1,8,14,0.0
2018,1,8,15,161.58236142992973
2018,1,8,16,323.99079990386963
2018,1,8,17,370.30125403404236
2018,1,8,18,371.9469659924507
2018,1,8,19,373.4446192383766
2018,1,8,20,371.45887845754623
2018,1,8,21,368.9066413640976
2018,1,8,22,466.1849517226219
2018,1,8,23,303.12283980846405
2018,1,8,24,34.49979054927826
2018,1,9,1,0.0
2018,1,9,2,0.0
2018,1,9,3,0.0
2018,1,9,4,0.0
2018,1,9,5,0.0
2018,1,9,6,0.0
2018,1,9,7,0.0
2018,1,9,8,0.0
2018,1,9,9,0.0
2018,1,9,10,0.0
2018,1,9,11,0.0
2018,1,9,12,0.0
2018,1,9,13,0.0
2018,1,9,14,0.0
2018,1,9,15,235.0448695719242
2018,1,9,16,420.3510212302208
2018,1,9,17,473.02705055475235
2018,1,9,18,464.41500186920166
2018,1,9,19,425.60419219732285
2018,1,9,20,427.3034124970436
2018,1,9,21,425.4883478283882
2018,1,9,22,488.87529891729355
