Year,Month,Day,Period,COPPER_SHEET
2018,6,1,1,47217.299999999996
2018,6,1,2,44720.08000000001
2018,6,1,3,42630.46
2018,6,1,4,41452.87999999999
2018,6,1,5,40597.17999999999
2018,6,1,6,41663.24
2018,6,1,7,42670.58
2018,6,1,8,43988.29
2018,6,1,9,46314.68
2018,6,1,10,49919.77
2018,6,1,11,53051.95
2018,6,1,12,55138.590000000004
2018,6,1,13,58062.79
2018,6,1,14,61001.200000000004
2018,6,1,15,63450.27
2018,6,1,16,64627.97999999999
2018,6,1,17,65537.35
2018,6,1,18,64674.94
2018,6,1,19,63892.9
2018,6,1,20,61858.380000000005
2018,6,1,21,58837.46
2018,6,1,22,57380.62999999999
2018,6,1,23,54250.04
2018,6,1,24,50315.97
2018,6,2,1,46053.380000000005
2018,6,2,2,43513.07
2018,6,2,3,41496.22
2018,6,2,4,40008.96599999999
2018,6,2,5,38752.340000000004
2018,6,2,6,38432.47
2018,6,2,7,38323.16
2018,6,2,8,39111.42
2018,6,2,9,42340.7
2018,6,2,10,47035.32000000001
2018,6,2,11,51269.83
2018,6,2,12,54315.899999999994
2018,6,2,13,56860.67
2018,6,2,14,58333.51
2018,6,2,15,60458.47
2018,6,2,16,61146.130000000005
2018,6,2,17,61489.73
2018,6,2,18,61577.61
2018,6,2,19,61790.350000000006
2018,6,2,20,59760.23999999999
2018,6,2,21,56413.67
2018,6,2,22,54768.87
2018,6,2,23,52263.35
2018,6,2,24,48721.55
2018,6,3,1,46787.406
2018,6,3,2,43935.111999999994
2018,6,3,3,41661.616
2018,6,3,4,40380.638
2018,6,3,5,39167.53200000001
2018,6,3,6,38569.107
2018,6,3,7,38780.61499999999
2018,6,3,8,38688.94200000001
2018,6,3,9,41509.994999999995
2018,6,3,10,44419.93000000001
2018,6,3,11,47923.09199999999
2018,6,3,12,51608.46999999999
2018,6,3,13,55763.66
2018,6,3,14,60601.65
2018,6,3,15,63168.560000000005
2018,6,3,16,64693.42
2018,6,3,17,65869.26999999999
2018,6,3,18,65554.06
2018,6,3,19,63310.91999999999
2018,6,3,20,60380.44
2018,6,3,21,57964.64000000001
2018,6,3,22,56622.090000000004
2018,6,3,23,52606.450000000004
2018,6,3,24,47862.62
2018,6,4,1,42258.013999999996
2018,6,4,2,39358.113
2018,6,4,3,37471.505
2018,6,4,4,36559.725
2018,6,4,5,36459.613
2018,6,4,6,37784.065
2018,6,4,7,39501.127
2018,6,4,8,41116.208000000006
2018,6,4,9,43869.068999999996
2018,6,4,10,46706.475999999995
2018,6,4,11,50311.74
2018,6,4,12,53056.98
2018,6,4,13,55500.44
2018,6,4,14,58547.69000000001
2018,6,4,15,58995.97000000001
2018,6,4,16,59268.82000000001
2018,6,4,17,58584.98
2018,6,4,18,58459.69999999999
2018,6,4,19,57093.4
2018,6,4,20,55717.28
2018,6,4,21,54481.899999999994
2018,6,4,22,52763.75000000001
2018,6,4,23,49282.48
2018,6,4,24,45336.78199999999
2018,6,5,1,41759.072
2018,6,5,2,39186.766
2018,6,5,3,37782.818
2018,6,5,4,37184.629
2018,6,5,5,36884.44499999999
2018,6,5,6,38120.624
2018,6,5,7,39899.844000000005
2018,6,5,8,41519.98000000001
2018,6,5,9,43388.63900000001
2018,6,5,10,45733.65
2018,6,5,11,49395.19
2018,6,5,12,52554.96
2018,6,5,13,55279.54
2018,6,5,14,58276.450000000004
2018,6,5,15,60099.58
2018,6,5,16,61543.49999999999
2018,6,5,17,61059.670000000006
2018,6,5,18,60556.36
2018,6,5,19,59519.86000000001
2018,6,5,20,58444.82000000001
2018,6,5,21,56812.42999999999
2018,6,5,22,55577.009999999995
2018,6,5,23,52411.52999999999
2018,6,5,24,48496.007000000005
2018,6,6,1,43696.747
2018,6,6,2,40440.087
2018,6,6,3,39568.36300000001
2018,6,6,4,38447.819
2018,6,6,5,37807.364
2018,6,6,6,38586.86
2018,6,6,7,40860.534999999996
2018,6,6,8,42157.957
2018,6,6,9,44348.212999999996
2018,6,6,10,47641.348000000005
2018,6,6,11,51280.92599999999
2018,6,6,12,54084.84999999999
2018,6,6,13,56855.94
2018,6,6,14,59794.14
2018,6,6,15,62109.46999999999
2018,6,6,16,63940.31
2018,6,6,17,65321.02000000001
2018,6,6,18,66177.96
2018,6,6,19,64863.36000000001
2018,6,6,20,62578.020000000004
2018,6,6,21,60980.020000000004
2018,6,6,22,57834.469999999994
2018,6,6,23,53769.86000000001
2018,6,6,24,49036.912
2018,6,7,1,44799.236000000004
2018,6,7,2,42759.08700000001
2018,6,7,3,40946.502
2018,6,7,4,40088.33500000001
2018,6,7,5,39772.166
2018,6,7,6,40866.34300000001
2018,6,7,7,42699.04
2018,6,7,8,44720.96000000001
2018,6,7,9,46873.4
2018,6,7,10,49534.60999999999
2018,6,7,11,52468.76
2018,6,7,12,55555.79
2018,6,7,13,58030.509999999995
2018,6,7,14,60709.18
2018,6,7,15,61776.91
2018,6,7,16,63562.929999999986
2018,6,7,17,64557.19
2018,6,7,18,63720.33
2018,6,7,19,63019.579999999994
2018,6,7,20,61774.060000000005
2018,6,7,21,59444.39
2018,6,7,22,56874.06999999999
2018,6,7,23,53367.93000000001
2018,6,7,24,49387.520000000004
