Year,Month,Day,Period,111408_1_Solar,111410_1_Solar,111412_1_Solar,120490_1_Solar,120498_1_Solar,120500_1_Solar,120503_2_Solar,120507_1_Solar,120512_1_Solar,140377_1_Solar,150554_1_Solar,170577_1_Solar,170579_1_Solar,170583_1_Solar,180145_1_Solar,210351_1_Solar,210358_1_Solar,220201_1_Solar,220203_1_Solar,220206_1_Solar,220219_1_Solar,220222_1_Solar,220225_2_Solar,220228_1_Solar,220230_1_Solar,220234_1_Solar,220236_1_Solar,220241_1_Solar,220245_1_Solar,220247_1_Solar,220250_1_Solar,220253_1_Solar,220256_1_Solar,240288_1_Solar,240298_1_Solar,250376_1_Solar
2018,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,6,6.55521,7.67942,2.89994,0.560443,0.919558,0.218582,0.415787,0.0,0.0331524,0.661689,0.0905686,3.38811,4.89808,0.0,0.339865,4.87763,0.65505,0.0,0.0,0.0,0.0,0.0583095,0.000300208,0.698927,0.0470153,0.0222882,0.013933,0.0,0.0,0.244395,0.025813,0.0,0.0,1.02731,0.155108,9.50522
2018,6,1,7,62.3678,90.2785,36.5578,29.0263,31.6128,7.52508,11.7407,5.64772,4.46226,10.6942,16.229,33.7243,123.149,21.2524,12.3871,54.686,16.4662,0.748889,9.64792,29.174,0.0,35.3548,3.40663,33.1764,49.9774,10.6429,6.33703,1.70176,9.60244,33.3525,2.03846,1.32114,16.6333,63.9811,7.82258,75.3206
2018,6,1,8,127.198,187.579,72.5739,73.0093,77.5777,22.721,32.4741,13.5813,13.5928,55.8808,52.313,70.0335,282.522,53.2749,80.8893,104.285,49.9141,3.43962,39.0338,135.833,0.0,99.4364,14.6995,96.6592,168.298,77.1927,13.4807,6.15601,39.4835,97.5933,0.0,8.63075,45.9248,131.123,21.8803,139.213
2018,6,1,9,142.073,229.833,91.9612,93.8274,127.621,23.2167,35.2434,23.8681,17.3091,61.1612,66.5753,81.56,353.612,65.1931,145.598,157.147,81.824,6.8933,67.8317,218.145,106.522,178.519,22.6151,127.886,241.024,131.3,39.5558,14.2255,63.6104,133.792,0.0,36.8444,53.3361,165.96,26.2058,175.553
2018,6,1,10,142.123,192.066,84.9756,90.6508,114.839,22.2832,38.2396,23.3503,13.701,60.4455,67.9874,80.3124,364.015,60.3507,226.898,184.487,94.3438,8.71602,82.1342,244.384,230.245,195.147,24.5703,138.112,249.349,140.193,49.9865,30.5613,73.3,148.043,83.7256,80.3228,63.5387,268.115,28.8132,176.915
2018,6,1,11,157.154,232.288,99.0123,100.325,107.095,17.7275,40.8784,25.3962,11.5603,88.9367,74.7267,79.264,364.897,58.5328,229.571,191.928,89.5461,9.5919,99.8744,244.863,202.454,196.165,24.9695,140.0,249.879,143.531,51.056,31.2353,73.7649,151.234,101.265,96.8164,75.156,288.18,29.5179,180.524
2018,6,1,12,158.664,206.318,94.9869,108.453,104.546,26.2562,41.536,24.2599,14.7702,106.708,75.1783,82.3,346.784,68.53,226.198,187.852,96.3402,9.99997,61.506,244.925,204.926,199.888,24.9686,140.0,249.883,148.841,50.5365,30.7736,72.6059,148.604,89.1069,93.1818,76.4617,313.2,27.9875,166.153
2018,6,1,13,159.686,228.927,94.9211,125.984,149.493,29.9986,49.3853,29.7,20.0,114.887,74.2883,82.3,359.628,68.7523,223.859,191.187,94.8192,9.99997,96.5975,244.925,235.336,199.923,24.9999,138.025,248.894,146.91,53.8003,32.2076,73.5864,145.652,207.251,98.1214,81.5911,313.2,29.7545,182.984
2018,6,1,14,160.112,231.521,92.0589,120.277,132.096,29.8386,48.7017,29.6773,18.7909,113.675,73.8093,82.3,372.808,69.9791,217.208,200.451,93.9173,9.99997,95.7535,244.925,229.786,199.923,24.6996,138.472,249.901,143.997,52.4713,28.7114,71.3999,145.781,233.2,98.8329,92.1008,313.2,29.9988,183.598
2018,6,1,15,168.401,235.582,98.654,116.089,143.178,29.3088,46.3455,29.7,19.9934,106.955,71.7083,82.3,369.844,67.7659,217.407,188.735,93.7497,9.99997,89.2916,244.925,189.789,196.83,24.2531,139.47,234.744,142.536,50.9506,32.079,73.4549,141.738,236.541,98.3947,89.2046,313.2,29.9988,175.891
2018,6,1,16,161.981,227.479,89.3767,115.42,138.157,25.5546,46.2069,29.3903,19.9976,104.597,65.0301,73.4745,370.108,63.7057,211.372,184.739,90.7688,9.15701,83.693,106.209,100.732,10.7825,8.19088,136.31,0.0,4.41044,19.0636,30.0864,42.8594,139.066,211.943,95.0263,64.5293,313.2,27.7002,163.436
2018,6,1,17,154.925,227.38,82.4762,107.672,120.078,23.4123,42.302,26.9162,18.8388,89.9372,71.6702,70.4411,343.603,60.8058,190.435,168.436,89.9249,8.39775,87.1538,156.692,78.3967,95.9448,5.12029,122.842,204.965,0.0,20.7868,27.7087,60.4775,127.037,218.513,92.2572,73.4338,296.151,27.8636,165.895
2018,6,1,18,119.793,148.219,56.6437,82.48,99.6597,19.9201,35.5049,20.9254,16.3256,77.0367,57.6273,58.2234,267.136,49.5652,145.402,147.427,74.4736,6.32194,63.3328,64.3229,135.691,40.1723,4.27656,110.275,194.511,0.0,1.99984,18.9782,46.6051,110.477,169.919,86.3075,64.5149,257.983,22.9882,134.337
