Year,Month,Day,Period,111408_1_Solar,111410_1_Solar,111412_1_Solar,120490_1_Solar,120498_1_Solar,120500_1_Solar,120503_2_Solar,120507_1_Solar,120512_1_Solar,140377_1_Solar,150554_1_Solar,170577_1_Solar,170579_1_Solar,170583_1_Solar,180145_1_Solar,210351_1_Solar,210358_1_Solar,220201_1_Solar,220203_1_Solar,220206_1_Solar,220219_1_Solar,220222_1_Solar,220225_2_Solar,220228_1_Solar,220230_1_Solar,220234_1_Solar,220236_1_Solar,220241_1_Solar,220245_1_Solar,220247_1_Solar,220250_1_Solar,220253_1_Solar,220256_1_Solar,240288_1_Solar,240298_1_Solar,250376_1_Solar
2018,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,1,6,3.4125,5.264,2.1775,0.644605,0.555,0.15525,0.222083,0.02673,0.0315,1.6375,2.00833,4.09785,17.0,2.87408,0.40528,3.54103,1.845,0.0,0.0,0.08575,0.0,0.07,0.0104167,0.333667,0.0875,0.065,0.0171875,0.0,0.0320667,0.36456,0.0,0.0,0.0833333,4.08726,0.1885,11.1
2018,6,1,7,52.9696,81.06,32.045,28.3626,35.04,8.0325,12.8267,3.62526,3.60225,17.6625,25.425,32.0284,141.6,25.9047,38.5776,57.4385,29.8688,1.44675,17.0625,52.5933,34.2201,33.04,5.20833,37.7953,45.5292,29.0062,9.83698,3.60113,9.33942,38.2636,50.599,18.59,20.7396,100.138,5.67125,76.46
2018,6,1,8,120.518,188.3,73.58,19.201,25.155,4.9815,5.3625,1.08925,0.7425,6.1125,54.5667,64.194,273.0,48.7608,98.483,127.868,59.9175,5.7645,62.8767,135.571,113.097,123.083,15.6849,99.7512,157.675,90.4638,31.688,17.5601,37.0129,100.467,155.417,65.3467,63.7604,227.794,21.3492,105.58
2018,6,1,9,153.164,236.992,94.7808,34.3835,64.77,5.01188,19.825,2.23864,2.16225,44.0625,68.525,78.2622,339.88,62.6687,140.43,95.8467,44.955,8.51175,93.925,220.635,194.43,180.903,21.6406,128.265,231.437,127.644,45.1917,30.0156,66.5945,128.993,196.406,92.8633,85.9688,285.474,27.3422,171.16
2018,6,1,10,165.829,239.904,99.97,83.5243,105.42,9.71325,35.6525,6.84288,4.4505,66.3625,73.7417,82.3,360.84,67.8102,162.137,138.361,56.5763,9.53213,99.6883,240.757,220.962,191.333,24.8776,137.607,249.463,141.57,49.4484,32.6597,73.9778,138.244,191.641,99.7858,92.4479,311.0,29.5425,180.72
2018,6,1,11,156.804,225.876,94.0442,105.921,146.43,17.6783,44.3679,23.7762,14.2098,83.7625,75.1583,82.3,362.36,69.1221,174.676,194.322,97.4267,9.75825,99.6775,241.272,234.202,199.92,24.7917,137.804,249.9,144.121,50.3365,31.5004,72.9837,138.578,219.609,99.4067,92.8542,313.2,29.7765,181.06
2018,6,1,12,169.601,228.872,86.7642,122.598,149.94,28.37,48.9937,29.7,20.0,113.288,75.0083,82.3,360.2,68.6671,201.601,196.777,100.0,9.66938,99.97,244.902,231.559,199.92,25.0,137.713,249.9,137.621,50.1073,32.2941,73.9778,138.366,230.833,99.97,93.1354,313.2,29.7895,180.1
2018,6,1,13,164.046,234.892,93.8275,122.502,149.88,30.0,48.5929,29.7,20.0,112.225,74.5667,82.3,357.8,67.704,228.654,195.473,100.0,9.495,99.97,240.986,225.794,198.543,24.7266,137.122,249.025,140.075,49.563,30.5093,72.5108,137.667,232.344,99.9592,93.25,313.2,29.4938,178.82
2018,6,1,14,166.094,230.132,78.78,121.707,148.515,29.9975,48.2029,29.7,20.0,111.688,74.2833,82.3,356.28,66.6803,224.601,194.344,100.0,9.41063,99.97,242.187,229.904,199.71,24.25,135.999,249.696,134.908,48.6807,29.1951,73.6892,136.391,230.807,99.7642,92.9688,313.174,29.432,178.0
2018,6,1,15,166.833,239.904,91.9208,120.555,145.845,29.8551,47.6721,29.4972,19.9242,110.775,73.8583,82.3,353.8,65.9447,213.38,192.801,99.7333,9.378,99.97,234.669,219.761,192.827,24.7943,134.498,241.908,134.063,46.1484,24.7475,72.6069,134.705,233.646,99.3092,92.7917,308.729,28.9802,176.96
2018,6,1,16,161.62,234.724,99.905,116.468,140.34,28.9305,45.9929,28.6846,19.3253,107.7,72.175,81.8542,347.8,64.5266,205.882,187.37,96.9075,9.0495,98.8542,229.038,213.835,171.453,24.3568,130.449,221.054,107.266,44.063,21.8889,70.6268,125.667,231.797,99.4717,91.9479,301.189,28.0508,172.56
2018,6,1,17,146.605,216.412,91.6717,107.265,128.925,26.7638,42.2175,24.3343,16.695,99.7875,66.7833,75.596,321.52,60.333,170.826,173.184,89.5613,8.7435,98.1392,177.502,197.82,142.66,10.9844,40.3585,187.629,71.6788,35.962,22.5572,57.8563,36.9421,215.182,95.81,89.4479,286.707,24.9015,158.84
2018,6,1,18,110.338,174.272,67.535,85.0879,101.31,21.1275,32.9063,14.6347,13.689,79.95,53.5833,59.9075,258.44,48.8215,123.256,138.513,71.2687,3.64387,90.0467,146.089,180.176,101.173,13.6927,78.5027,119.058,76.9438,23.4953,9.98291,44.4684,46.846,186.719,87.4142,79.5729,240.972,21.7198,125.72
