Year,Month,Day,Period,190193_1_Wind,120493_1_Wind,160281_1_Wind,150496_1_Wind,220216_1_Wind,220136_1_Wind,190203_1_Wind,190206_1_Wind,150510_1_Wind,150502_1_Wind,190106_1_Wind,190169_1_Wind,200189_1_Wind,150534_1_Wind,240217_1_Wind,240239_1_Wind,240248_1_Wind,190120_1_Wind,240307_1_Wind,240219_1_Wind,200192_1_Wind,240269_1_Wind,190114_1_Wind,190209_1_Wind,240261_1_Wind,240260_1_Wind,240259_1_Wind,240258_1_Wind,180119_1_Wind,240241_1_Wind,160291_1_Wind,190174_1_Wind,220159_1_Wind,220181_1_Wind,150528_1_Wind,190190_1_Wind,210354_1_Wind,190159_1_Wind,190196_1_Wind,220169_1_Wind,240256_1_Wind,240255_1_Wind,210346_1_Wind,190198_1_Wind,190157_1_Wind,190132_1_Wind,150520_1_Wind,190167_1_Wind,160263_1_Wind,220176_1_Wind,240272_1_Wind,190147_1_Wind,200179_1_Wind,240293_1_Wind,240223_1_Wind,240222_1_Wind,240221_1_Wind,240280_2_Wind,220151_1_Wind,180134_1_Wind,180131_1_Wind,190165_1_Wind,160301_1_Wind,150512_1_Wind,220149_1_Wind,240312_1_Wind,240282_1_Wind,150552_1_Wind,210349_1_Wind,240236_1_Wind,240233_1_Wind,190145_1_Wind,240284_1_Wind,240285_1_Wind,200207_1_Wind,200181_1_Wind,200184_1_Wind,180123_1_Wind,180126_1_Wind,200186_1_Wind,190177_1_Wind,190155_1_Wind,190118_1_Wind,220209_1_Wind,180143_1_Wind,180137_1_Wind,190139_1_Wind,160303_1_Wind,190126_1_Wind,220191_2_Wind,220192_1_Wind,220188_1_Wind,190182_1_Wind,240304_1_Wind,240317_1_Wind,190129_1_Wind,190136_1_Wind,220183_1_Wind,220186_1_Wind,240275_1_Wind,160278_1_Wind,160273_1_Wind,160283_1_Wind,160275_1_Wind,160270_1_Wind,190162_1_Wind,190172_1_Wind,240278_2_Wind,240320_1_Wind,220214_1_Wind,240296_1_Wind,190111_1_Wind,240291_1_Wind,240244_1_Wind,190134_1_Wind,150549_1_Wind,190201_1_Wind,190185_1_Wind,200204_1_Wind,220171_1_Wind,150505_1_Wind,180128_1_Wind,160286_1_Wind,150515_1_Wind,220195_1_Wind,220178_1_Wind,150492_1_Wind,240246_1_Wind,240250_1_Wind,190152_1_Wind,190149_1_Wind,220174_1_Wind,160288_1_Wind,190124_1_Wind,190123_1_Wind,240225_1_Wind,240228_1_Wind,240230_1_Wind,240214_1_Wind,240212_1_Wind,180140_1_Wind,240210_1_Wind,150499_1_Wind,240266_1_Wind,150531_1_Wind,190142_1_Wind,190116_1_Wind,180121_1_Wind,240301_1_Wind,150517_1_Wind,150507_1_Wind,220153_1_Wind,220156_1_Wind
2018,6,1,1,217.443,41.2834,68.7075,76.2399,134.572,30.193,37.6379,37.6379,37.6379,75.1826,170.507,76.2731,74.4772,70.9082,472.017,472.017,472.017,142.064,130.516,102.828,27.4036,225.951,225.951,33.7891,331.071,331.071,331.071,331.071,117.641,107.479,125.95,38.3067,144.772,98.4905,73.903,56.0672,168.389,92.5332,190.728,93.2958,125.834,125.834,124.046,33.2779,154.967,154.967,194.332,194.332,95.8666,88.1071,107.946,65.924,176.444,132.983,406.197,406.197,406.197,165.724,74.415,170.887,170.887,167.976,7.44976,79.8536,256.574,116.646,116.646,45.3683,146.291,360.8,360.8,142.166,232.649,232.649,387.485,387.485,387.485,387.485,387.485,45.8918,75.3741,156.436,129.165,121.15,143.63,143.63,260.317,5.63567,24.267,134.652,134.652,43.139,134.875,205.358,205.358,294.237,294.237,119.275,89.4028,112.528,70.0942,70.0942,70.0942,74.3751,74.3751,225.777,225.777,224.598,230.667,146.506,146.506,62.4894,22.0807,115.364,42.7379,22.1248,186.964,122.101,47.2806,70.4242,110.807,60.7035,84.7885,164.435,265.338,265.338,42.0824,49.6701,91.2825,368.824,368.824,81.263,63.1999,218.201,218.201,527.941,527.941,527.941,527.941,527.941,199.317,135.3,157.747,130.082,89.9147,220.217,51.7026,76.9576,146.11,52.1446,83.0141,74.8583,74.8583
2018,6,1,2,188.437,19.68,81.6041,79.424,130.91,26.7608,57.4537,57.4537,57.4537,111.422,156.11,92.8953,43.4905,62.7914,472.017,472.017,472.017,138.832,133.857,102.828,57.6716,225.951,225.951,65.8389,303.911,303.911,303.911,303.911,116.54,105.791,109.938,43.6362,144.772,81.853,137.374,65.4372,140.069,88.5,152.435,89.9153,119.115,119.115,106.981,20.1093,202.283,202.283,206.384,206.384,113.915,98.6816,92.7392,71.168,144.568,112.436,490.446,490.446,490.446,153.162,74.415,158.646,158.646,172.941,36.8145,89.7095,257.701,127.652,127.652,81.5635,137.329,360.636,360.636,175.116,252.513,252.513,338.679,338.679,338.679,338.679,338.679,61.0534,50.4633,84.651,127.772,120.795,148.106,148.106,257.083,29.4584,26.9184,133.463,133.463,41.0129,129.451,216.239,216.239,180.212,180.212,106.757,80.5978,96.346,20.8002,20.8002,20.8002,95.5529,95.5529,227.419,227.419,216.1,200.815,140.052,140.052,53.3732,20.9974,127.738,77.6958,16.3786,206.3,94.4621,38.8157,63.4383,108.936,58.867,74.195,170.081,255.135,255.135,45.4743,41.775,91.2825,393.403,393.403,76.3706,70.8758,226.737,226.737,481.568,481.568,481.568,481.568,481.568,171.495,135.3,185.211,123.903,106.125,199.039,53.6643,74.5324,135.665,53.6384,93.9042,86.6502,86.6502
2018,6,1,3,162.564,24.1493,95.2115,74.134,108.376,27.2543,43.4917,43.4917,43.4917,105.956,163.153,95.7337,62.1537,80.4104,451.397,451.397,451.397,97.7478,133.857,96.1949,44.0305,214.979,214.979,66.3234,346.196,346.196,346.196,346.196,120.599,111.515,100.062,37.9886,144.772,97.7141,129.649,52.0313,116.276,87.2949,127.699,91.8003,118.776,118.776,82.4686,23.109,87.3157,87.3157,188.582,188.582,134.042,90.3955,124.689,74.9599,111.31,146.978,474.618,474.618,474.618,145.271,74.415,149.331,149.331,242.024,36.8851,89.1769,249.417,122.386,122.386,85.5789,118.144,324.121,324.121,169.003,215.474,215.474,302.149,302.149,302.149,302.149,302.149,59.5943,34.1645,61.3555,133.346,149.144,154.096,154.096,260.317,29.0715,20.0454,131.645,131.645,45.0938,111.311,186.448,186.448,103.15,103.15,108.95,74.5798,91.5059,95.2643,95.2643,95.2643,81.49,81.49,222.855,222.855,206.371,242.639,123.803,123.803,62.4656,22.4726,132.574,55.5798,14.3747,163.745,74.01,37.5757,58.4338,110.841,59.2249,73.9187,154.824,261.136,261.136,42.6818,33.8982,91.2825,373.668,373.668,78.0185,80.1899,194.91,194.91,460.777,460.777,460.777,460.777,460.777,201.466,128.411,194.729,113.226,109.144,161.491,53.9396,73.6178,149.071,47.7772,101.475,73.0043,73.0043
2018,6,1,4,162.63,32.3263,94.8126,79.1073,143.665,28.2481,54.5332,54.5332,54.5332,90.9267,135.815,101.612,70.7242,70.8336,436.901,436.901,436.901,98.5686,133.857,97.7992,50.6635,198.927,198.927,46.3473,306.848,306.848,306.848,306.848,118.582,97.9898,65.3767,34.1766,144.772,108.055,94.378,59.2945,113.78,76.5705,211.669,86.5768,119.906,119.906,93.3725,23.9936,72.6664,72.6664,169.42,169.42,112.304,77.6219,121.422,53.1985,122.661,154.432,432.863,432.863,432.863,148.856,74.415,152.91,152.91,208.974,37.2687,95.8042,249.048,114.333,114.333,72.4304,96.7234,308.452,308.452,136.966,182.768,182.768,353.959,353.959,353.959,353.959,353.959,59.9368,33.0936,78.0557,118.114,136.871,176.958,176.958,238.246,29.3236,14.7696,132.413,132.413,49.4483,116.379,200.319,200.319,57.2888,57.2888,110.288,75.3045,68.201,110.306,110.306,110.306,101.288,101.288,169.295,169.295,210.398,260.688,142.612,142.612,49.4036,18.2756,126.082,55.392,20.4209,177.709,67.1119,35.4393,58.9862,110.468,53.9918,70.5759,145.132,233.106,233.106,41.986,29.7762,89.9968,414.803,414.803,70.6839,90.8251,206.943,206.943,443.213,443.213,443.213,443.213,443.213,175.42,111.012,164.175,105.743,113.273,75.1219,53.9396,76.7117,146.311,45.1016,101.475,74.7228,74.7228
2018,6,1,5,133.875,34.077,92.2476,67.6913,140.694,27.3868,67.1124,67.1124,67.1124,94.0035,106.467,102.273,87.4204,52.2249,394.156,394.156,394.156,96.0784,129.508,95.2908,40.0104,171.475,171.475,22.4724,304.538,304.538,304.538,304.538,125.647,86.6163,52.0419,32.6595,144.772,97.7725,98.9696,77.6191,114.693,61.9643,170.637,85.6887,102.03,102.03,76.3703,20.5877,78.8042,78.8042,129.175,129.175,128.157,53.7658,135.806,51.4083,134.899,148.373,458.723,458.723,458.723,155.769,74.415,132.993,132.993,116.392,49.7312,80.9204,251.383,107.655,107.655,79.1186,110.544,331.185,331.185,158.165,182.798,182.798,395.849,395.849,395.849,395.849,395.849,70.1052,44.116,58.178,113.829,115.249,158.762,158.762,205.815,38.8466,12.3586,135.977,135.977,45.5367,121.658,209.235,209.235,57.9333,57.9333,112.342,60.2206,58.7216,129.981,129.981,129.981,68.2918,68.2918,135.14,135.14,196.172,251.135,138.644,138.644,41.3662,10.6196,132.979,31.806,19.5889,160.223,53.8041,30.8295,45.259,104.783,49.6707,55.503,126.647,248.326,248.326,43.837,25.5586,91.2825,390.932,390.932,68.3452,90.024,214.486,214.486,437.023,437.023,437.023,437.023,437.023,149.751,109.877,158.482,105.144,113.273,54.4712,53.9396,76.507,143.288,46.1669,101.475,76.4807,76.4807
2018,6,1,6,98.125,12.5484,44.3216,59.2909,145.526,24.339,71.2107,71.2107,71.2107,94.9564,85.2613,112.691,58.9087,43.4824,384.784,384.784,384.784,78.1369,128.021,89.8619,45.1485,175.622,175.622,11.3644,334.72,334.72,334.72,334.72,115.074,81.4501,64.8847,23.717,143.548,94.1533,104.684,70.5682,103.39,38.4275,151.076,67.1158,85.3255,85.3255,70.2268,10.3845,64.0534,64.0534,157.327,157.327,64.7232,22.3905,149.371,39.1181,122.184,104.73,421.763,421.763,421.763,167.944,74.415,116.055,116.055,72.6505,37.3511,90.9385,244.557,112.849,112.849,52.3514,166.067,294.288,294.288,163.269,182.814,182.814,297.666,297.666,297.666,297.666,297.666,42.1736,36.7485,78.5944,83.4844,92.6188,141.996,141.996,210.108,29.4442,6.82353,135.977,135.977,39.5068,89.3343,259.087,259.087,92.886,92.886,72.7168,49.5964,60.1279,134.771,134.771,134.771,58.8528,58.8528,105.865,105.865,172.758,219.797,126.413,126.413,28.1709,11.6349,117.556,0.837116,20.5628,121.808,54.2252,35.3206,38.0899,113.703,52.7179,60.0258,128.414,234.165,234.165,40.7861,26.8898,90.3276,308.678,308.678,71.4623,86.2595,168.659,168.659,431.947,431.947,431.947,431.947,431.947,160.455,96.0111,152.188,114.812,106.587,34.6186,49.2692,74.3067,136.831,45.3184,101.475,90.3128,90.3128
2018,6,1,7,118.0,2.22507,18.4662,41.8125,140.304,20.2156,48.4943,48.4943,48.4943,78.8566,73.0036,102.902,51.5952,63.5146,301.495,301.495,301.495,58.7639,133.767,84.8204,42.5482,185.185,185.185,0.0,285.275,285.275,285.275,285.275,135.3,70.8499,107.702,16.482,144.772,73.2985,80.967,30.6336,88.9662,41.4962,108.302,65.3608,53.9381,53.9381,73.8244,10.1507,60.9268,60.9268,139.232,139.232,71.9269,30.1884,149.371,42.6758,182.794,83.7468,362.773,362.773,362.773,162.268,72.2199,164.169,164.169,64.0114,34.2146,87.4378,220.717,81.0425,81.0425,50.5819,180.49,255.749,255.749,120.318,144.829,144.829,361.692,361.692,361.692,361.692,361.692,48.8271,22.4975,72.8009,64.817,46.8279,170.673,170.673,173.02,27.0744,5.17756,119.391,119.391,32.0887,53.3295,236.128,236.128,92.9236,92.9236,75.414,42.917,38.3366,137.602,137.602,137.602,32.6644,32.6644,90.4755,90.4755,137.836,149.956,125.405,125.405,25.6029,12.4605,108.9,8.22595,13.7873,110.869,45.9369,23.0878,32.959,107.078,59.6375,88.1139,109.382,210.27,210.27,38.5724,17.541,89.0859,186.278,186.278,63.481,51.9039,155.104,155.104,495.315,495.315,495.315,495.315,495.315,232.408,82.994,116.603,102.24,93.3165,94.8742,41.795,82.082,85.7616,33.9725,101.475,60.533,60.533
2018,6,1,8,145.708,16.6294,27.7425,23.511,122.225,16.1194,29.3782,29.3782,29.3782,43.8586,86.1169,45.4626,36.3037,40.2194,278.117,278.117,278.117,60.0569,94.3726,77.5773,14.1103,117.383,117.383,5.79177,259.324,259.324,259.324,259.324,121.391,42.4133,84.6006,9.90727,144.772,42.963,47.2144,28.0114,61.1732,61.8559,75.4928,50.9396,34.1857,34.1857,51.0373,23.7782,21.5694,21.5694,71.1204,71.1204,43.4711,42.8173,112.97,21.2884,113.925,82.4964,195.319,195.319,195.319,142.906,66.6043,162.973,162.973,49.5518,48.8544,56.7478,188.567,84.1248,84.1248,33.0276,173.019,185.921,185.921,64.9038,125.334,125.334,282.081,282.081,282.081,282.081,282.081,24.3322,22.1254,53.8444,61.2081,66.7399,150.929,150.929,119.373,38.5691,11.1053,89.1923,89.1923,16.9765,59.4173,200.547,200.547,42.0858,42.0858,62.0118,42.6059,35.8212,139.896,139.896,139.896,23.4039,23.4039,69.4673,69.4673,125.922,108.849,109.895,109.895,24.2664,15.6706,59.376,13.4916,6.95199,65.5811,39.8335,16.532,32.9304,72.7149,43.5768,68.4496,63.5727,196.801,196.801,38.7172,17.2977,68.5561,122.077,122.077,43.1809,45.0138,111.394,111.394,445.985,445.985,445.985,445.985,445.985,169.094,65.54,93.4154,87.3804,67.0699,66.614,14.3101,71.2325,61.0146,17.0908,68.36,55.3297,55.3297
2018,6,1,9,142.696,18.6663,42.3682,11.9365,87.5978,10.6226,19.7224,19.7224,19.7224,20.2553,101.117,37.4729,23.3047,35.3563,189.874,189.874,189.874,49.0576,59.8598,66.8735,0.0,107.113,107.113,16.9134,311.911,311.911,311.911,311.911,98.7138,53.4415,86.4571,7.66697,114.057,36.5694,25.5278,29.3451,63.4253,45.6955,92.8751,56.3393,25.2911,25.2911,50.3651,29.1514,89.3673,89.3673,48.1721,48.1721,65.0634,37.9983,62.1329,20.3946,81.5921,62.7111,96.832,96.832,96.832,116.25,52.7758,116.74,116.74,59.197,33.9552,44.143,143.943,56.6029,56.6029,2.70854,118.71,138.125,138.125,49.7334,94.0595,94.0595,215.788,215.788,215.788,215.788,215.788,16.5813,13.5412,53.9549,53.4818,48.1333,94.1653,94.1653,74.4991,26.6346,11.7424,56.0841,56.0841,15.5467,43.643,136.286,136.286,74.5999,74.5999,40.0124,24.6042,24.853,89.8234,89.8234,89.8234,24.2032,24.2032,47.4749,47.4749,74.391,85.9583,86.8449,86.8449,35.7562,14.6421,26.1786,20.8208,6.4047,34.6847,25.3655,14.7983,18.4857,51.9449,43.1401,64.9171,34.4259,146.2,146.2,24.6115,19.02,71.551,102.54,102.54,25.1334,39.9043,110.689,110.689,358.432,358.432,358.432,358.432,358.432,89.039,37.804,59.8034,75.3542,36.009,51.2755,16.5168,59.3613,71.795,13.3101,37.5395,44.8368,44.8368
2018,6,1,10,132.038,18.0199,29.9976,4.7274,78.6352,13.724,20.8983,20.8983,20.8983,14.6222,55.0829,27.2922,14.5372,30.819,148.261,148.261,148.261,39.0964,33.8562,47.7065,6.71434,81.3214,81.3214,23.474,279.714,279.714,279.714,279.714,65.3261,28.2558,50.3344,10.4718,81.1849,42.8833,14.1219,23.77,63.6666,41.4725,77.1586,43.8445,48.3435,48.3435,45.569,23.3307,137.714,137.714,35.622,35.622,56.6472,30.1449,40.8614,25.1062,76.8722,38.3944,147.096,147.096,147.096,106.468,41.985,77.7359,77.7359,60.4271,44.8492,23.1804,92.7571,38.4669,38.4669,3.15193,63.1074,77.5806,77.5806,38.8251,92.5447,92.5447,215.253,215.253,215.253,215.253,215.253,6.17384,20.6805,38.8652,43.7892,27.3381,68.7212,68.7212,49.754,35.1322,12.0072,35.0508,35.0508,17.0142,32.1391,85.745,85.745,90.4039,90.4039,68.6205,52.9227,19.1628,82.9864,82.9864,82.9864,24.1615,24.1615,39.499,39.499,97.3636,74.1804,61.2956,61.2956,22.9619,12.5496,37.6155,21.3757,4.91694,30.003,24.8709,17.7678,40.5078,26.7251,28.2432,52.8037,25.6126,105.512,105.512,15.2181,13.7576,67.0233,156.12,156.12,21.7029,25.1205,79.2801,79.2801,233.56,233.56,233.56,233.56,233.56,65.7519,31.3411,38.806,53.7069,18.6448,62.1005,6.97584,37.4925,46.3672,7.98131,12.6059,44.3897,44.3897
