Year,Month,Day,Period,190193_1_Wind,120493_1_Wind,160281_1_Wind,150496_1_Wind,220216_1_Wind,220136_1_Wind,190203_1_Wind,190206_1_Wind,150510_1_Wind,150502_1_Wind,190106_1_Wind,190169_1_Wind,200189_1_Wind,150534_1_Wind,240217_1_Wind,240239_1_Wind,240248_1_Wind,190120_1_Wind,240307_1_Wind,240219_1_Wind,200192_1_Wind,240269_1_Wind,190114_1_Wind,190209_1_Wind,240261_1_Wind,240260_1_Wind,240259_1_Wind,240258_1_Wind,180119_1_Wind,240241_1_Wind,160291_1_Wind,190174_1_Wind,220159_1_Wind,220181_1_Wind,150528_1_Wind,190190_1_Wind,210354_1_Wind,190159_1_Wind,190196_1_Wind,220169_1_Wind,240256_1_Wind,240255_1_Wind,210346_1_Wind,190198_1_Wind,190157_1_Wind,190132_1_Wind,150520_1_Wind,190167_1_Wind,160263_1_Wind,220176_1_Wind,240272_1_Wind,190147_1_Wind,200179_1_Wind,240293_1_Wind,240223_1_Wind,240222_1_Wind,240221_1_Wind,240280_2_Wind,220151_1_Wind,180134_1_Wind,180131_1_Wind,190165_1_Wind,160301_1_Wind,150512_1_Wind,220149_1_Wind,240312_1_Wind,240282_1_Wind,150552_1_Wind,210349_1_Wind,240236_1_Wind,240233_1_Wind,190145_1_Wind,240284_1_Wind,240285_1_Wind,200207_1_Wind,200181_1_Wind,200184_1_Wind,180123_1_Wind,180126_1_Wind,200186_1_Wind,190177_1_Wind,190155_1_Wind,190118_1_Wind,220209_1_Wind,180143_1_Wind,180137_1_Wind,190139_1_Wind,160303_1_Wind,190126_1_Wind,220191_2_Wind,220192_1_Wind,220188_1_Wind,190182_1_Wind,240304_1_Wind,240317_1_Wind,190129_1_Wind,190136_1_Wind,220183_1_Wind,220186_1_Wind,240275_1_Wind,160278_1_Wind,160273_1_Wind,160283_1_Wind,160275_1_Wind,160270_1_Wind,190162_1_Wind,190172_1_Wind,240278_2_Wind,240320_1_Wind,220214_1_Wind,240296_1_Wind,190111_1_Wind,240291_1_Wind,240244_1_Wind,190134_1_Wind,150549_1_Wind,190201_1_Wind,190185_1_Wind,200204_1_Wind,220171_1_Wind,150505_1_Wind,180128_1_Wind,160286_1_Wind,150515_1_Wind,220195_1_Wind,220178_1_Wind,150492_1_Wind,240246_1_Wind,240250_1_Wind,190152_1_Wind,190149_1_Wind,220174_1_Wind,160288_1_Wind,190124_1_Wind,190123_1_Wind,240225_1_Wind,240228_1_Wind,240230_1_Wind,240214_1_Wind,240212_1_Wind,180140_1_Wind,240210_1_Wind,150499_1_Wind,240266_1_Wind,150531_1_Wind,190142_1_Wind,190116_1_Wind,180121_1_Wind,240301_1_Wind,150517_1_Wind,150507_1_Wind,220153_1_Wind,220156_1_Wind
2018,6,1,1,225.95,72.3278,103.104,77.26,174.232,30.9566,79.3331,79.3331,79.3331,130.413,194.959,108.712,120.118,80.9094,472.017,472.017,472.017,156.45,133.857,102.828,81.0288,225.909,225.909,7.315,306.281,306.281,306.281,306.281,133.812,114.103,110.05,42.84,144.771,109.578,159.198,35.2648,177.767,124.631,218.604,110.807,131.498,131.498,121.005,56.8142,305.962,305.962,219.85,219.85,147.665,104.929,148.971,33.2833,128.271,127.669,565.845,565.845,565.845,177.694,74.415,167.504,167.504,104.296,66.9858,99.22,257.701,129.75,129.75,103.5,179.256,360.8,360.8,170.65,270.1,270.1,487.76,487.76,487.76,487.76,487.76,104.278,6.87521,24.576,131.375,190.52,162.54,162.54,248.052,52.8068,23.0825,135.977,135.977,52.5525,135.059,270.6,270.6,343.733,343.733,128.535,104.181,105.901,232.783,232.783,232.783,101.64,101.64,232.351,232.351,224.598,230.075,174.846,174.846,74.102,24.7372,160.791,91.9375,25.898,206.039,104.182,42.501,81.18,132.813,57.0635,99.4023,163.119,270.575,270.575,52.355,49.959,91.2824,84.4008,84.4008,105.28,114.855,291.51,291.51,527.941,527.941,527.941,527.941,527.941,202.762,135.25,191.175,152.889,103.331,148.133,53.9396,79.0866,150.646,54.723,97.95,102.514,102.514
2018,6,1,2,220.574,69.1432,99.5355,73.7,174.691,30.7507,75.1696,75.1696,75.1696,126.975,190.778,130.738,120.137,80.9094,472.017,472.017,472.017,144.87,133.857,102.828,79.0625,222.757,222.757,16.7825,303.933,303.933,303.933,303.933,130.9,113.407,117.854,38.85,144.771,107.536,144.152,16.5104,173.95,116.641,208.454,110.072,131.935,131.935,117.478,33.6672,257.21,257.21,200.1,200.1,152.716,104.669,144.334,16.4833,119.375,107.583,543.718,543.718,543.718,177.694,74.415,150.209,150.209,91.1588,76.3707,99.22,257.701,126.187,126.187,95.4653,175.621,360.8,360.8,173.583,267.425,267.425,510.856,510.856,510.856,510.856,510.856,106.327,16.0125,21.1968,130.237,188.179,168.302,168.302,250.336,60.2051,21.195,135.562,135.562,51.8505,133.106,270.6,270.6,301.567,301.567,128.535,104.181,108.412,221.099,221.099,221.099,81.6312,81.6312,232.866,232.866,224.598,236.5,174.139,174.139,72.513,24.1746,154.503,59.9625,22.5565,164.662,88.566,47.616,81.18,131.675,46.826,110.966,168.799,270.6,270.6,50.145,41.7637,91.2824,109.596,109.596,103.31,113.565,266.419,266.419,527.941,527.941,527.941,527.941,527.941,195.075,134.912,189.637,152.409,100.893,93.4461,53.9396,74.5214,126.521,55.1877,98.0344,82.7483,82.7483
2018,6,1,3,215.198,64.8368,105.596,69.21,174.543,30.0386,63.4011,63.4011,63.4011,127.662,185.622,128.837,118.484,80.9094,472.017,472.017,472.017,132.45,133.857,102.828,80.8912,216.954,216.954,11.1475,259.843,259.843,259.843,259.843,129.225,108.822,118.373,33.6588,144.771,102.498,130.64,109.167,163.683,112.769,199.908,109.306,130.152,130.152,115.984,22.8442,154.731,154.731,179.275,179.275,159.725,104.069,117.134,37.775,123.042,74.3858,511.234,511.234,511.234,177.694,74.415,147.049,147.049,242.757,73.5811,99.22,257.701,127.625,127.625,85.2687,171.502,360.8,360.8,171.417,260.3,260.3,423.865,423.865,423.865,423.865,423.865,104.143,29.5723,35.3472,127.387,164.875,169.193,169.193,248.124,58.006,18.65,133.615,133.615,49.6324,128.054,270.6,270.6,91.7,91.7,128.535,104.181,85.918,208.054,208.054,208.054,74.7096,74.7096,208.123,208.123,224.598,228.725,173.914,173.914,70.553,23.5069,145.272,40.75,19.2528,147.537,95.149,46.0195,81.18,130.925,43.784,105.448,157.694,269.9,269.9,47.52,38.9235,91.2824,56.6685,56.6685,100.18,111.924,213.887,213.887,527.941,527.941,527.941,527.941,527.941,180.35,133.463,181.838,152.225,98.4338,74.8812,53.9396,74.2181,98.5208,52.734,98.1,83.081,83.081
2018,6,1,4,211.55,59.004,98.6265,62.29,174.478,29.8384,50.0529,50.0529,50.0529,122.237,184.83,129.725,112.708,80.9094,472.017,472.017,472.017,125.94,133.857,102.828,81.73,211.923,211.923,9.765,242.876,242.876,242.876,242.876,126.988,108.843,110.776,33.201,144.771,101.228,115.652,138.557,148.283,104.377,178.296,108.696,128.98,128.98,113.08,16.8138,100.043,100.043,150.625,150.625,166.097,90.3473,99.0288,76.1833,128.146,70.1308,480.22,480.22,480.22,177.694,74.415,143.2,143.2,261.713,80.0558,99.22,257.701,127.313,127.313,75.1947,167.15,360.667,360.667,171.317,252.275,252.275,338.241,338.241,338.241,338.241,338.241,96.9192,42.09,51.4176,123.188,108.338,164.17,164.17,247.547,63.1102,17.2425,128.389,128.389,49.6616,123.316,270.6,270.6,57.6333,57.6333,128.535,104.181,71.7701,189.658,189.658,189.658,78.4392,78.4392,195.998,195.998,224.598,221.125,170.913,170.913,70.252,22.3522,136.46,52.5125,16.322,139.341,106.444,41.9662,81.18,128.95,47.593,86.0307,143.084,262.775,262.775,44.81,37.8525,91.2824,62.172,62.172,93.7,103.079,187.073,187.073,527.941,527.941,527.941,527.941,527.941,180.876,133.6,171.994,151.858,93.8815,75.2456,53.9396,71.5867,83.4792,47.549,97.1625,76.8253,76.8253
2018,6,1,5,212.204,53.5755,83.2072,57.22,172.315,29.5581,45.0656,45.0656,45.0656,116.675,178.844,128.925,107.198,80.9094,472.017,472.017,472.017,103.38,133.857,102.828,80.0525,211.86,211.86,7.315,228.023,228.023,228.023,228.023,129.087,108.326,101.623,29.2446,144.771,99.4501,105.896,129.363,115.767,95.7394,150.646,108.675,131.997,131.997,80.2859,17.3142,128.862,128.862,155.7,155.7,141.86,59.995,71.001,75.7167,137.271,89.8917,462.078,462.078,462.078,177.694,74.415,147.62,147.62,257.517,56.9293,98.9633,257.701,128.05,128.05,67.4207,150.342,354.567,354.567,162.617,239.275,239.275,333.302,333.302,333.302,333.302,333.302,94.752,38.341,84.6144,116.337,52.0129,159.23,159.23,248.509,44.8789,17.345,107.422,107.422,48.3844,125.748,270.6,270.6,69.1,69.1,128.535,104.181,71.5041,190.957,190.957,190.957,92.9712,92.9712,205.502,205.502,224.598,207.0,168.118,168.118,67.977,21.6136,131.304,44.2125,17.4913,128.215,118.944,44.144,81.18,123.812,51.207,86.0307,111.416,246.05,246.05,45.12,38.6977,91.2824,66.5146,66.5146,84.59,100.935,173.728,173.728,527.941,527.941,527.941,527.941,527.941,197.504,134.8,161.85,150.459,95.4094,75.6315,53.9247,73.9906,109.812,38.8563,96.7594,35.6176,35.6176
2018,6,1,6,218.36,46.5465,64.5558,50.12,169.463,29.7297,52.4675,52.4675,52.4675,103.575,178.347,129.587,108.053,80.9094,472.017,472.017,472.017,76.005,133.857,102.828,70.4963,214.699,214.699,2.1875,225.499,225.499,225.499,225.499,130.025,107.578,95.375,25.6074,144.771,101.309,121.018,125.623,116.05,79.9921,119.613,108.158,132.346,132.346,61.0845,18.7098,152.295,152.295,162.025,162.025,105.303,43.9643,65.7018,74.0583,149.583,98.0375,471.026,471.026,471.026,177.694,74.415,152.679,152.679,242.757,74.597,97.6892,257.701,127.263,127.263,61.9927,127.414,322.4,322.4,155.7,219.725,219.725,326.693,326.693,326.693,326.693,326.693,96.3312,22.57,63.3024,107.725,40.343,152.258,152.258,244.083,58.8069,11.3325,81.2542,81.2542,48.6574,119.398,270.6,270.6,266.0,266.0,128.535,104.181,58.5366,205.711,205.711,205.711,91.6272,91.6272,205.993,205.993,224.598,177.9,160.149,160.149,67.788,21.545,133.847,75.7125,18.648,106.385,102.283,38.0912,81.18,119.75,50.2255,73.4688,88.8132,229.7,229.7,45.905,39.4433,91.2824,34.9986,34.9986,80.89,99.3442,172.977,172.977,527.941,527.941,527.941,527.941,527.941,180.325,135.275,159.3,148.468,92.7932,82.1699,53.5409,75.9698,118.833,32.215,91.9688,12.2984,12.2984
2018,6,1,7,218.571,35.8297,49.5405,36.44,160.352,29.4895,46.3181,46.3181,46.3181,83.625,183.817,126.125,90.801,80.2367,471.799,471.799,471.799,60.48,133.857,102.781,72.4625,203.114,203.114,0.2625,212.759,212.759,212.759,212.759,127.025,93.5678,68.9107,21.2772,144.771,99.9275,106.049,104.543,114.65,64.8536,79.8875,103.438,130.177,130.177,52.2423,21.3037,202.145,202.145,135.15,135.15,64.546,37.8479,61.7826,58.025,145.625,81.1133,453.252,453.252,453.252,177.53,74.415,151.839,151.839,201.873,59.6156,91.63,256.559,120.975,120.975,60.95,105.786,214.2,214.2,150.483,187.825,187.825,379.723,379.723,379.723,379.723,379.723,78.96,19.2658,42.9504,105.012,38.7589,143.993,143.993,214.117,46.9966,6.505,75.6137,75.6137,45.9274,101.027,270.575,270.575,352.367,352.367,126.374,102.429,47.3812,155.495,155.495,155.495,83.6808,83.6808,178.465,178.465,224.598,143.525,145.97,145.97,69.867,17.7834,128.796,80.9625,16.4178,89.2038,92.8725,37.3318,79.815,104.762,53.17,60.8317,77.9114,191.6,191.6,42.875,38.3355,91.2824,41.749,41.749,76.92,83.549,168.341,168.341,527.941,527.941,527.941,527.941,527.941,176.494,133.25,146.025,139.258,77.3677,69.8862,52.5692,74.8778,100.854,29.9597,79.3688,1.98319,1.98319
2018,6,1,8,204.677,26.2432,58.0077,31.58,128.56,27.1157,29.7203,29.7203,29.7203,64.95,170.833,79.525,91.01,73.1279,458.585,458.585,458.585,47.835,126.066,99.902,64.68,148.797,148.797,7.84,202.309,202.309,202.309,202.309,120.65,75.9422,68.5994,17.2998,137.094,86.803,69.2683,76.5952,100.65,78.8267,52.675,82.2618,110.953,110.953,63.1422,32.2715,176.654,176.654,96.575,96.575,71.6968,30.872,58.8156,35.2833,139.667,66.2017,425.364,425.364,425.364,168.944,69.8981,141.385,141.385,122.178,52.3832,70.4092,225.084,106.85,106.85,42.1053,91.0288,161.9,161.9,98.2167,153.575,153.575,411.633,411.633,411.633,411.633,411.633,76.776,15.1229,41.3376,85.475,39.7622,131.46,131.46,149.952,41.2951,5.7725,33.9816,33.9816,37.7813,73.9242,262.275,262.275,292.333,292.333,80.2631,65.0554,53.1501,126.238,126.238,126.238,81.8328,81.8328,118.095,118.095,216.962,124.45,107.899,107.899,64.932,15.0989,120.872,70.825,11.3476,89.7672,75.429,28.5975,50.6925,81.525,53.079,58.0067,78.9658,142.975,142.975,41.46,35.658,90.8186,58.2164,58.2164,54.24,79.8472,145.035,145.035,472.191,472.191,472.191,472.191,472.191,159.691,123.512,118.875,117.449,61.3458,44.6114,45.6125,67.3627,77.75,30.9173,63.1219,9.99581,9.99581
2018,6,1,9,66.286,21.8377,73.8647,23.82,85.6411,10.3103,26.0306,26.0306,26.0306,46.825,107.314,43.3,84.246,34.8559,290.126,290.126,290.126,31.38,31.5968,63.2035,60.2937,67.1966,67.1966,14.105,163.503,163.503,163.503,163.503,106.387,55.4281,60.5667,12.6252,84.7975,38.6829,57.6533,54.4136,84.5667,70.8365,63.7,56.6455,57.6708,57.6708,59.3796,25.2405,167.39,167.39,83.525,83.525,114.696,21.2676,46.4646,25.5417,136.979,59.0525,366.585,366.585,366.585,101.586,46.2413,124.443,124.443,78.7212,66.0559,41.91,152.397,93.925,93.925,34.454,73.0532,113.2,113.2,63.65,116.975,116.975,459.345,459.345,459.345,459.345,459.345,72.072,12.3906,34.848,70.8625,23.375,114.307,114.307,116.859,52.0737,5.7825,8.69325,8.69325,18.2861,68.0652,218.125,218.125,218.533,218.533,29.0819,23.5716,44.7046,142.925,142.925,142.925,76.4064,76.4064,75.328,75.328,129.438,112.75,84.663,84.663,40.789,12.4715,104.169,60.625,8.28576,53.1787,43.645,35.3942,18.3675,60.7375,46.5075,80.3242,63.8972,124.125,124.125,37.07,27.216,46.5351,75.0707,75.0707,25.62,76.916,71.9535,71.9535,267.238,267.238,267.238,267.238,267.238,143.914,83.025,95.1,85.4986,46.4541,44.933,36.0743,58.2324,57.7917,24.2023,49.3688,14.1752,14.1752
2018,6,1,10,38.6036,19.6103,62.1823,18.64,69.6796,6.76104,24.4736,24.4736,24.4736,29.1625,37.5516,30.9375,61.313,18.9043,168.067,168.067,168.067,20.52,26.5636,36.613,50.2425,37.575,37.575,44.275,109.374,109.374,109.374,109.374,75.8875,29.8435,73.5809,7.728,61.9798,23.5877,51.1175,40.6504,64.8,27.8166,59.0625,30.7085,37.7117,37.7117,44.9639,19.6183,99.0139,99.0139,60.9,60.9,107.569,17.9495,29.3802,24.6917,108.375,38.18,203.856,203.856,203.856,58.4105,27.8231,93.7018,93.7018,62.2627,50.1446,19.4975,115.232,74.4375,74.4375,34.454,50.7754,76.6333,76.6333,45.5667,74.9,74.9,391.955,391.955,391.955,391.955,391.955,52.668,16.2794,36.6528,49.65,18.1473,91.224,91.224,119.985,39.5304,4.6875,6.99731,6.99731,11.0809,58.2624,139.925,139.925,162.067,162.067,22.3131,18.0854,38.4869,160.086,160.086,160.086,69.4848,69.4848,47.87,47.87,77.0032,108.875,55.4242,55.4242,14.273,13.2215,57.9278,47.3,6.0984,32.7015,23.693,33.3328,14.0925,33.925,34.138,57.3475,37.7226,99.675,99.675,25.265,12.201,30.4359,107.06,107.06,15.7,52.1595,48.5538,48.5538,163.689,163.689,163.689,163.689,163.689,108.18,46.7625,63.825,48.7595,33.2159,39.1663,29.5512,43.2023,39.7708,14.688,32.5031,47.7829,47.7829
