,simulation_n_1,simulation_n_2,simulation_n_3,simulation_n_4,simulation_n_5
2013-07-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-01 05:00:00,0.25447400111965,0.4637491323811236,0.43527264097970964,0.015324119845260496,0.25716763744827165
2013-07-01 06:00:00,33.71594252452438,33.62665299202413,33.20172546132694,29.697484108355265,31.046735183494867
2013-07-01 07:00:00,146.26949312202942,161.04140297202355,158.42607952764035,139.34910900288247,145.37369793933578
2013-07-01 08:00:00,323.28601600559557,332.17397224223663,297.69461147575623,261.11635549113447,296.040096349302
2013-07-01 09:00:00,456.0678689199834,474.6986618928827,435.6807001295788,385.6098201516202,368.44297779805567
2013-07-01 10:00:00,572.9557472169254,582.3231837095018,591.3171108897503,469.0284070297864,515.1362959632353
2013-07-01 11:00:00,679.1551029426774,701.0586955180042,640.9086204910216,551.0167077065563,611.3300946833134
2013-07-01 12:00:00,559.0630179234688,683.7553506135714,637.0835791951588,573.3847152377336,542.4825030984026
2013-07-01 13:00:00,602.9357390034792,684.7926697800146,667.3605594987249,647.560646487222,593.0837518085935
2013-07-01 14:00:00,601.0045048450728,667.4818266347542,597.7202964782497,650.6074514973037,565.2370896479626
2013-07-01 15:00:00,484.0347982934392,554.1809943293073,482.2542902568104,491.2117706229905,489.1684468318893
2013-07-01 16:00:00,381.48727981715945,386.16823866571417,369.7569331117239,385.59199692333857,386.59015078749064
2013-07-01 17:00:00,217.37311134903698,243.76093999742332,229.51467372228421,244.32310239373084,212.44172230266236
2013-07-01 18:00:00,93.35932041451554,104.90306937931702,95.99539135616827,95.03537391917344,100.28909004791011
2013-07-01 19:00:00,15.748262770996444,14.673282970014222,16.103064143394427,14.184131848432706,16.016373268287023
2013-07-01 20:00:00,0.005577743939288872,0.025090147017962666,0.019288660079644984,0.00517808619489611,0.0
2013-07-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-02 05:00:00,0.29144881004088696,0.2639328113490973,0.49716682174880567,0.2676970040672497,0.18882769028649118
2013-07-02 06:00:00,34.77131049420645,34.95898311538356,35.69161099145972,35.05004410420188,34.650145342041675
2013-07-02 07:00:00,146.03726150758024,148.25795092157605,144.74741387096591,147.7606408551864,144.0491172055179
2013-07-02 08:00:00,328.96935682195374,308.63531666878157,285.3870193111244,324.39897450070544,311.0520350268179
